REF_DATE,GEO,Custodial admissions,Sex,VALUE
2000/2001,Prince Edward Island,Other custodial statuses,Male,
2000/2001,Prince Edward Island,Other custodial statuses,Female,
2000/2001,Prince Edward Island,Other custodial statuses,Sex unknown,
2000/2001,Nova Scotia,"Total, custodial admissions","Total, custodial admission by sex",3788
2000/2001,Nova Scotia,"Total, custodial admissions",Male,3497
2000/2001,Nova Scotia,"Total, custodial admissions",Female,291
2000/2001,Nova Scotia,"Total, custodial admissions",Sex unknown,0
2000/2001,Nova Scotia,Sentenced,"Total, custodial admission by sex",1624
2000/2001,Nova Scotia,Sentenced,Male,1523
2000/2001,Nova Scotia,Sentenced,Female,101
2000/2001,Nova Scotia,Sentenced,Sex unknown,0
2000/2001,Nova Scotia,Remand,"Total, custodial admission by sex",1758
2000/2001,Nova Scotia,Remand,Male,1584
2000/2001,Nova Scotia,Remand,Female,174
2000/2001,Nova Scotia,Remand,Sex unknown,0
2000/2001,Nova Scotia,Other custodial statuses,"Total, custodial admission by sex",406
2000/2001,Nova Scotia,Other custodial statuses,Male,390
2000/2001,Nova Scotia,Other custodial statuses,Female,16
2000/2001,Nova Scotia,Other custodial statuses,Sex unknown,0
2000/2001,New Brunswick,"Total, custodial admissions","Total, custodial admission by sex",
2000/2001,New Brunswick,"Total, custodial admissions",Male,
2000/2001,New Brunswick,"Total, custodial admissions",Female,
2000/2001,New Brunswick,"Total, custodial admissions",Sex unknown,
2000/2001,New Brunswick,Sentenced,"Total, custodial admission by sex",
2000/2001,New Brunswick,Sentenced,Male,
2000/2001,New Brunswick,Sentenced,Female,
2000/2001,New Brunswick,Sentenced,Sex unknown,
2000/2001,New Brunswick,Remand,"Total, custodial admission by sex",
2000/2001,New Brunswick,Remand,Male,
2000/2001,New Brunswick,Remand,Female,
2000/2001,New Brunswick,Remand,Sex unknown,
2000/2001,New Brunswick,Other custodial statuses,"Total, custodial admission by sex",
2000/2001,New Brunswick,Other custodial statuses,Male,
2000/2001,New Brunswick,Other custodial statuses,Female,
2000/2001,New Brunswick,Other custodial statuses,Sex unknown,
2000/2001,Quebec,"Total, custodial admissions","Total, custodial admission by sex",43911
2000/2001,Quebec,"Total, custodial admissions",Male,40030
2000/2001,Quebec,"Total, custodial admissions",Female,3881
2000/2001,Quebec,"Total, custodial admissions",Sex unknown,0
2000/2001,Quebec,Sentenced,"Total, custodial admission by sex",14951
2000/2001,Quebec,Sentenced,Male,13432
2000/2001,Quebec,Sentenced,Female,1519
2000/2001,Quebec,Sentenced,Sex unknown,0
2000/2001,Quebec,Remand,"Total, custodial admission by sex",26063
2000/2001,Quebec,Remand,Male,23969
2000/2001,Quebec,Remand,Female,2094
2000/2001,Quebec,Remand,Sex unknown,0
2000/2001,Quebec,Other custodial statuses,"Total, custodial admission by sex",2897
2000/2001,Quebec,Other custodial statuses,Male,2629
2000/2001,Quebec,Other custodial statuses,Female,268
2000/2001,Quebec,Other custodial statuses,Sex unknown,0
2000/2001,Ontario,"Total, custodial admissions","Total, custodial admission by sex",86417
2000/2001,Ontario,"Total, custodial admissions",Male,77610
2000/2001,Ontario,"Total, custodial admissions",Female,8807
2000/2001,Ontario,"Total, custodial admissions",Sex unknown,0
2000/2001,Ontario,Sentenced,"Total, custodial admission by sex",30999
2000/2001,Ontario,Sentenced,Male,28328
2000/2001,Ontario,Sentenced,Female,2671
2000/2001,Ontario,Sentenced,Sex unknown,0
2000/2001,Ontario,Remand,"Total, custodial admission by sex",52179
2000/2001,Ontario,Remand,Male,46289
2000/2001,Ontario,Remand,Female,5890
2000/2001,Ontario,Remand,Sex unknown,0
2000/2001,Ontario,Other custodial statuses,"Total, custodial admission by sex",3239
2000/2001,Ontario,Other custodial statuses,Male,2993
2000/2001,Ontario,Other custodial statuses,Female,246
2000/2001,Ontario,Other custodial statuses,Sex unknown,0
2000/2001,Manitoba,"Total, custodial admissions","Total, custodial admission by sex",14780
2000/2001,Manitoba,"Total, custodial admissions",Male,13089
2000/2001,Manitoba,"Total, custodial admissions",Female,1690
2000/2001,Manitoba,"Total, custodial admissions",Sex unknown,1
2000/2001,Manitoba,Sentenced,"Total, custodial admission by sex",2901
2000/2001,Manitoba,Sentenced,Male,2734
2000/2001,Manitoba,Sentenced,Female,167
2000/2001,Manitoba,Sentenced,Sex unknown,0
2000/2001,Manitoba,Remand,"Total, custodial admission by sex",6955
2000/2001,Manitoba,Remand,Male,6157
2000/2001,Manitoba,Remand,Female,798
2000/2001,Manitoba,Remand,Sex unknown,0
2000/2001,Manitoba,Other custodial statuses,"Total, custodial admission by sex",4924
2000/2001,Manitoba,Other custodial statuses,Male,4198
2000/2001,Manitoba,Other custodial statuses,Female,725
2000/2001,Manitoba,Other custodial statuses,Sex unknown,1
2000/2001,Saskatchewan,"Total, custodial admissions","Total, custodial admission by sex",12989
2000/2001,Saskatchewan,"Total, custodial admissions",Male,12243
2000/2001,Saskatchewan,"Total, custodial admissions",Female,746
2000/2001,Saskatchewan,"Total, custodial admissions",Sex unknown,0
2000/2001,Saskatchewan,Sentenced,"Total, custodial admission by sex",3219
2000/2001,Saskatchewan,Sentenced,Male,2931
2000/2001,Saskatchewan,Sentenced,Female,288
2000/2001,Saskatchewan,Sentenced,Sex unknown,0
2000/2001,Saskatchewan,Remand,"Total, custodial admission by sex",9548
2000/2001,Saskatchewan,Remand,Male,9113
2000/2001,Saskatchewan,Remand,Female,435
2000/2001,Saskatchewan,Remand,Sex unknown,0
2000/2001,Saskatchewan,Other custodial statuses,"Total, custodial admission by sex",222
2000/2001,Saskatchewan,Other custodial statuses,Male,199
2000/2001,Saskatchewan,Other custodial statuses,Female,23
2000/2001,Saskatchewan,Other custodial statuses,Sex unknown,0
2000/2001,Alberta,"Total, custodial admissions","Total, custodial admission by sex",
2000/2001,Alberta,"Total, custodial admissions",Male,
2000/2001,Alberta,"Total, custodial admissions",Female,
2000/2001,Alberta,"Total, custodial admissions",Sex unknown,
2000/2001,Alberta,Sentenced,"Total, custodial admission by sex",
2000/2001,Alberta,Sentenced,Male,
2000/2001,Alberta,Sentenced,Female,
2000/2001,Alberta,Sentenced,Sex unknown,
2000/2001,Alberta,Remand,"Total, custodial admission by sex",
2000/2001,Alberta,Remand,Male,
2000/2001,Alberta,Remand,Female,
2000/2001,Alberta,Remand,Sex unknown,
2000/2001,Alberta,Other custodial statuses,"Total, custodial admission by sex",
2000/2001,Alberta,Other custodial statuses,Male,
2000/2001,Alberta,Other custodial statuses,Female,
2000/2001,Alberta,Other custodial statuses,Sex unknown,
2000/2001,British Columbia,"Total, custodial admissions","Total, custodial admission by sex",34904
2000/2001,British Columbia,"Total, custodial admissions",Male,30675
2000/2001,British Columbia,"Total, custodial admissions",Female,4227
2000/2001,British Columbia,"Total, custodial admissions",Sex unknown,2
2000/2001,British Columbia,Sentenced,"Total, custodial admission by sex",9520
2000/2001,British Columbia,Sentenced,Male,8823
2000/2001,British Columbia,Sentenced,Female,697
2000/2001,British Columbia,Sentenced,Sex unknown,0
2000/2001,British Columbia,Remand,"Total, custodial admission by sex",12185
2000/2001,British Columbia,Remand,Male,10844
2000/2001,British Columbia,Remand,Female,1341
2000/2001,British Columbia,Remand,Sex unknown,0
2000/2001,British Columbia,Other custodial statuses,"Total, custodial admission by sex",13199
2000/2001,British Columbia,Other custodial statuses,Male,11008
2000/2001,British Columbia,Other custodial statuses,Female,2189
2000/2001,British Columbia,Other custodial statuses,Sex unknown,2
2000/2001,Yukon,"Total, custodial admissions","Total, custodial admission by sex",609
2000/2001,Yukon,"Total, custodial admissions",Male,549
2000/2001,Yukon,"Total, custodial admissions",Female,60
2000/2001,Yukon,"Total, custodial admissions",Sex unknown,0
2000/2001,Yukon,Sentenced,"Total, custodial admission by sex",294
2000/2001,Yukon,Sentenced,Male,268
2000/2001,Yukon,Sentenced,Female,26
2000/2001,Yukon,Sentenced,Sex unknown,0
2000/2001,Yukon,Remand,"Total, custodial admission by sex",302
2000/2001,Yukon,Remand,Male,268
2000/2001,Yukon,Remand,Female,34
2000/2001,Yukon,Remand,Sex unknown,0
2000/2001,Yukon,Other custodial statuses,"Total, custodial admission by sex",13
2000/2001,Yukon,Other custodial statuses,Male,13
2000/2001,Yukon,Other custodial statuses,Female,0
2000/2001,Yukon,Other custodial statuses,Sex unknown,0
2000/2001,Northwest Territories,"Total, custodial admissions","Total, custodial admission by sex",1431
2000/2001,Northwest Territories,"Total, custodial admissions",Male,1393
2000/2001,Northwest Territories,"Total, custodial admissions",Female,38
2000/2001,Northwest Territories,"Total, custodial admissions",Sex unknown,0
2000/2001,Northwest Territories,Sentenced,"Total, custodial admission by sex",802
2000/2001,Northwest Territories,Sentenced,Male,775
2000/2001,Northwest Territories,Sentenced,Female,27
2000/2001,Northwest Territories,Sentenced,Sex unknown,0
2000/2001,Northwest Territories,Remand,"Total, custodial admission by sex",628
2000/2001,Northwest Territories,Remand,Male,617
2000/2001,Northwest Territories,Remand,Female,11
2000/2001,Northwest Territories,Remand,Sex unknown,0
2000/2001,Northwest Territories,Other custodial statuses,"Total, custodial admission by sex",1
2000/2001,Northwest Territories,Other custodial statuses,Male,1
2000/2001,Northwest Territories,Other custodial statuses,Female,0
2000/2001,Northwest Territories,Other custodial statuses,Sex unknown,0
2000/2001,Nunavut,"Total, custodial admissions","Total, custodial admission by sex",434
2000/2001,Nunavut,"Total, custodial admissions",Male,
2000/2001,Nunavut,"Total, custodial admissions",Female,
2000/2001,Nunavut,"Total, custodial admissions",Sex unknown,434
2000/2001,Nunavut,Sentenced,"Total, custodial admission by sex",229
2000/2001,Nunavut,Sentenced,Male,
2000/2001,Nunavut,Sentenced,Female,
2000/2001,Nunavut,Sentenced,Sex unknown,229
2000/2001,Nunavut,Remand,"Total, custodial admission by sex",205
2000/2001,Nunavut,Remand,Male,
2000/2001,Nunavut,Remand,Female,
2000/2001,Nunavut,Remand,Sex unknown,205
2001/2002,All Provinces and territories,"Total, custodial admissions","Total, custodial admission by sex",205885
2001/2002,All Provinces and territories,"Total, custodial admissions",Male,184882
2001/2002,All Provinces and territories,"Total, custodial admissions",Female,20983
2001/2002,All Provinces and territories,"Total, custodial admissions",Sex unknown,20
2001/2002,All Provinces and territories,Sentenced,"Total, custodial admission by sex",68087
2001/2002,All Provinces and territories,Sentenced,Male,62174
2001/2002,All Provinces and territories,Sentenced,Female,5906
2001/2002,All Provinces and territories,Sentenced,Sex unknown,7
2001/2002,All Provinces and territories,Remand,"Total, custodial admission by sex",111601
2001/2002,All Provinces and territories,Remand,Male,100088
2001/2002,All Provinces and territories,Remand,Female,11501
2001/2002,All Provinces and territories,Remand,Sex unknown,12
2001/2002,All Provinces and territories,Other custodial statuses,"Total, custodial admission by sex",26197
2001/2002,All Provinces and territories,Other custodial statuses,Male,22620
2001/2002,All Provinces and territories,Other custodial statuses,Female,3576
2001/2002,All Provinces and territories,Other custodial statuses,Sex unknown,1
2001/2002,Newfoundland and Labrador,"Total, custodial admissions","Total, custodial admission by sex",1750
2001/2002,Newfoundland and Labrador,"Total, custodial admissions",Male,1673
2001/2002,Newfoundland and Labrador,"Total, custodial admissions",Female,77
2001/2002,Newfoundland and Labrador,"Total, custodial admissions",Sex unknown,0
2001/2002,Newfoundland and Labrador,Sentenced,"Total, custodial admission by sex",1235
2001/2002,Newfoundland and Labrador,Sentenced,Male,1174
2001/2002,Newfoundland and Labrador,Sentenced,Female,61
2001/2002,Newfoundland and Labrador,Sentenced,Sex unknown,0
2001/2002,Newfoundland and Labrador,Remand,"Total, custodial admission by sex",422
2001/2002,Newfoundland and Labrador,Remand,Male,407
2001/2002,Newfoundland and Labrador,Remand,Female,15
2001/2002,Newfoundland and Labrador,Remand,Sex unknown,0
2001/2002,Newfoundland and Labrador,Other custodial statuses,"Total, custodial admission by sex",93
2001/2002,Newfoundland and Labrador,Other custodial statuses,Male,92
2001/2002,Newfoundland and Labrador,Other custodial statuses,Female,1
2001/2002,Newfoundland and Labrador,Other custodial statuses,Sex unknown,0
2001/2002,Prince Edward Island,"Total, custodial admissions","Total, custodial admission by sex",828
2001/2002,Prince Edward Island,"Total, custodial admissions",Male,776
2001/2002,Prince Edward Island,"Total, custodial admissions",Female,52
2001/2002,Prince Edward Island,"Total, custodial admissions",Sex unknown,0
2001/2002,Prince Edward Island,Sentenced,"Total, custodial admission by sex",650
2001/2002,Prince Edward Island,Sentenced,Male,605
2001/2002,Prince Edward Island,Sentenced,Female,45
2001/2002,Prince Edward Island,Sentenced,Sex unknown,0
2001/2002,Prince Edward Island,Remand,"Total, custodial admission by sex",178
2001/2002,Prince Edward Island,Remand,Male,171
2001/2002,Prince Edward Island,Remand,Female,7
2001/2002,Prince Edward Island,Remand,Sex unknown,0
2001/2002,Prince Edward Island,Other custodial statuses,"Total, custodial admission by sex",
2001/2002,Prince Edward Island,Other custodial statuses,Male,
2001/2002,Prince Edward Island,Other custodial statuses,Female,
2001/2002,Prince Edward Island,Other custodial statuses,Sex unknown,
2001/2002,Nova Scotia,"Total, custodial admissions","Total, custodial admission by sex",3855
2001/2002,Nova Scotia,"Total, custodial admissions",Male,3563
2001/2002,Nova Scotia,"Total, custodial admissions",Female,292
2001/2002,Nova Scotia,"Total, custodial admissions",Sex unknown,0
2001/2002,Nova Scotia,Sentenced,"Total, custodial admission by sex",1507
2001/2002,Nova Scotia,Sentenced,Male,1421
2001/2002,Nova Scotia,Sentenced,Female,86
2001/2002,Nova Scotia,Sentenced,Sex unknown,0
2001/2002,Nova Scotia,Remand,"Total, custodial admission by sex",1881
2001/2002,Nova Scotia,Remand,Male,1699
2001/2002,Nova Scotia,Remand,Female,182
2001/2002,Nova Scotia,Remand,Sex unknown,0
2001/2002,Nova Scotia,Other custodial statuses,"Total, custodial admission by sex",467
2001/2002,Nova Scotia,Other custodial statuses,Male,443
2001/2002,Nova Scotia,Other custodial statuses,Female,24
2001/2002,Nova Scotia,Other custodial statuses,Sex unknown,0
2001/2002,New Brunswick,"Total, custodial admissions","Total, custodial admission by sex",3466
2001/2002,New Brunswick,"Total, custodial admissions",Male,3227
2001/2002,New Brunswick,"Total, custodial admissions",Female,239
2001/2002,New Brunswick,"Total, custodial admissions",Sex unknown,0
2001/2002,New Brunswick,Sentenced,"Total, custodial admission by sex",1555
2001/2002,New Brunswick,Sentenced,Male,1460
2001/2002,New Brunswick,Sentenced,Female,95
2001/2002,New Brunswick,Sentenced,Sex unknown,0
2001/2002,New Brunswick,Remand,"Total, custodial admission by sex",1337
2001/2002,New Brunswick,Remand,Male,1227
2001/2002,New Brunswick,Remand,Female,110
2001/2002,New Brunswick,Remand,Sex unknown,0
2001/2002,New Brunswick,Other custodial statuses,"Total, custodial admission by sex",574
2001/2002,New Brunswick,Other custodial statuses,Male,540
2001/2002,New Brunswick,Other custodial statuses,Female,34
2001/2002,New Brunswick,Other custodial statuses,Sex unknown,0
2001/2002,Quebec,"Total, custodial admissions","Total, custodial admission by sex",44697
2001/2002,Quebec,"Total, custodial admissions",Male,40754
2001/2002,Quebec,"Total, custodial admissions",Female,3943
2001/2002,Quebec,"Total, custodial admissions",Sex unknown,0
2001/2002,Quebec,Sentenced,"Total, custodial admission by sex",14372
2001/2002,Quebec,Sentenced,Male,12879
2001/2002,Quebec,Sentenced,Female,1493
2001/2002,Quebec,Sentenced,Sex unknown,0
2001/2002,Quebec,Remand,"Total, custodial admission by sex",27341
2001/2002,Quebec,Remand,Male,25149
2001/2002,Quebec,Remand,Female,2192
2001/2002,Quebec,Remand,Sex unknown,0
2001/2002,Quebec,Other custodial statuses,"Total, custodial admission by sex",2984
2001/2002,Quebec,Other custodial statuses,Male,2726
2001/2002,Quebec,Other custodial statuses,Female,258
2001/2002,Quebec,Other custodial statuses,Sex unknown,0
2001/2002,Ontario,"Total, custodial admissions","Total, custodial admission by sex",91305
2001/2002,Ontario,"Total, custodial admissions",Male,81993
2001/2002,Ontario,"Total, custodial admissions",Female,9312
2001/2002,Ontario,"Total, custodial admissions",Sex unknown,0
2001/2002,Ontario,Sentenced,"Total, custodial admission by sex",31980
2001/2002,Ontario,Sentenced,Male,29235
2001/2002,Ontario,Sentenced,Female,2745
2001/2002,Ontario,Sentenced,Sex unknown,0
2001/2002,Ontario,Remand,"Total, custodial admission by sex",56370
2001/2002,Ontario,Remand,Male,49991
2001/2002,Ontario,Remand,Female,6379
2001/2002,Ontario,Remand,Sex unknown,0
2001/2002,Ontario,Other custodial statuses,"Total, custodial admission by sex",2955
2001/2002,Ontario,Other custodial statuses,Male,2767
2001/2002,Ontario,Other custodial statuses,Female,188
2001/2002,Ontario,Other custodial statuses,Sex unknown,0
2001/2002,Manitoba,"Total, custodial admissions","Total, custodial admission by sex",16204
2001/2002,Manitoba,"Total, custodial admissions",Male,14102
2001/2002,Manitoba,"Total, custodial admissions",Female,2102
2001/2002,Manitoba,"Total, custodial admissions",Sex unknown,0
2001/2002,Manitoba,Sentenced,"Total, custodial admission by sex",3025
2001/2002,Manitoba,Sentenced,Male,2792
2001/2002,Manitoba,Sentenced,Female,233
2001/2002,Manitoba,Sentenced,Sex unknown,0
2001/2002,Manitoba,Remand,"Total, custodial admission by sex",7625
2001/2002,Manitoba,Remand,Male,6653
2001/2002,Manitoba,Remand,Female,972
2001/2002,Manitoba,Remand,Sex unknown,0
2001/2002,Manitoba,Other custodial statuses,"Total, custodial admission by sex",5554
2001/2002,Manitoba,Other custodial statuses,Male,4657
2001/2002,Manitoba,Other custodial statuses,Female,897
2001/2002,Manitoba,Other custodial statuses,Sex unknown,0
2001/2002,Saskatchewan,"Total, custodial admissions","Total, custodial admission by sex",8498
2001/2002,Saskatchewan,"Total, custodial admissions",Male,7802
2001/2002,Saskatchewan,"Total, custodial admissions",Female,678
2001/2002,Saskatchewan,"Total, custodial admissions",Sex unknown,18
2001/2002,Saskatchewan,Sentenced,"Total, custodial admission by sex",3345
2001/2002,Saskatchewan,Sentenced,Male,3027
2001/2002,Saskatchewan,Sentenced,Female,312
2001/2002,Saskatchewan,Sentenced,Sex unknown,6
2001/2002,Saskatchewan,Remand,"Total, custodial admission by sex",4982
2001/2002,Saskatchewan,Remand,Male,4633
2001/2002,Saskatchewan,Remand,Female,337
2001/2002,Saskatchewan,Remand,Sex unknown,12
2001/2002,Saskatchewan,Other custodial statuses,"Total, custodial admission by sex",171
2001/2002,Saskatchewan,Other custodial statuses,Male,142
2001/2002,Saskatchewan,Other custodial statuses,Female,29
2001/2002,Saskatchewan,Other custodial statuses,Sex unknown,0
2001/2002,Alberta,"Total, custodial admissions","Total, custodial admission by sex",
2001/2002,Alberta,"Total, custodial admissions",Male,
2001/2002,Alberta,"Total, custodial admissions",Female,
2001/2002,Alberta,"Total, custodial admissions",Sex unknown,
2001/2002,Alberta,Sentenced,"Total, custodial admission by sex",
2001/2002,Alberta,Sentenced,Male,
2001/2002,Alberta,Sentenced,Female,
2001/2002,Alberta,Sentenced,Sex unknown,
2001/2002,Alberta,Remand,"Total, custodial admission by sex",
2001/2002,Alberta,Remand,Male,
2001/2002,Alberta,Remand,Female,
2001/2002,Alberta,Remand,Sex unknown,
2001/2002,Alberta,Other custodial statuses,"Total, custodial admission by sex",
2001/2002,Alberta,Other custodial statuses,Male,
2001/2002,Alberta,Other custodial statuses,Female,
2001/2002,Alberta,Other custodial statuses,Sex unknown,
2001/2002,British Columbia,"Total, custodial admissions","Total, custodial admission by sex",33312
2001/2002,British Columbia,"Total, custodial admissions",Male,29125
2001/2002,British Columbia,"Total, custodial admissions",Female,4185
2001/2002,British Columbia,"Total, custodial admissions",Sex unknown,2
2001/2002,British Columbia,Sentenced,"Total, custodial admission by sex",9263
2001/2002,British Columbia,Sentenced,Male,8485
2001/2002,British Columbia,Sentenced,Female,777
2001/2002,British Columbia,Sentenced,Sex unknown,1
2001/2002,British Columbia,Remand,"Total, custodial admission by sex",10687
2001/2002,British Columbia,Remand,Male,9423
2001/2002,British Columbia,Remand,Female,1264
2001/2002,British Columbia,Remand,Sex unknown,0
2001/2002,British Columbia,Other custodial statuses,"Total, custodial admission by sex",13362
2001/2002,British Columbia,Other custodial statuses,Male,11217
2001/2002,British Columbia,Other custodial statuses,Female,2144
2001/2002,British Columbia,Other custodial statuses,Sex unknown,1
2001/2002,Yukon,"Total, custodial admissions","Total, custodial admission by sex",627
2001/2002,Yukon,"Total, custodial admissions",Male,576
2001/2002,Yukon,"Total, custodial admissions",Female,51
2001/2002,Yukon,"Total, custodial admissions",Sex unknown,0
2001/2002,Yukon,Sentenced,"Total, custodial admission by sex",280
2001/2002,Yukon,Sentenced,Male,262
2001/2002,Yukon,Sentenced,Female,18
2001/2002,Yukon,Sentenced,Sex unknown,0
2001/2002,Yukon,Remand,"Total, custodial admission by sex",323
2001/2002,Yukon,Remand,Male,291
2001/2002,Yukon,Remand,Female,32
2001/2002,Yukon,Remand,Sex unknown,0
2001/2002,Yukon,Other custodial statuses,"Total, custodial admission by sex",24
2001/2002,Yukon,Other custodial statuses,Male,23
2001/2002,Yukon,Other custodial statuses,Female,1
2001/2002,Yukon,Other custodial statuses,Sex unknown,0
2001/2002,Northwest Territories,"Total, custodial admissions","Total, custodial admission by sex",812
2001/2002,Northwest Territories,"Total, custodial admissions",Male,760
2001/2002,Northwest Territories,"Total, custodial admissions",Female,52
2001/2002,Northwest Territories,"Total, custodial admissions",Sex unknown,0
2001/2002,Northwest Territories,Sentenced,"Total, custodial admission by sex",562
2001/2002,Northwest Territories,Sentenced,Male,521
2001/2002,Northwest Territories,Sentenced,Female,41
2001/2002,Northwest Territories,Sentenced,Sex unknown,0
2001/2002,Northwest Territories,Remand,"Total, custodial admission by sex",237
2001/2002,Northwest Territories,Remand,Male,226
2001/2002,Northwest Territories,Remand,Female,11
2001/2002,Northwest Territories,Remand,Sex unknown,0
2001/2002,Northwest Territories,Other custodial statuses,"Total, custodial admission by sex",13
2001/2002,Northwest Territories,Other custodial statuses,Male,13
2001/2002,Northwest Territories,Other custodial statuses,Female,0
2001/2002,Northwest Territories,Other custodial statuses,Sex unknown,0
2001/2002,Nunavut,"Total, custodial admissions","Total, custodial admission by sex",531
2001/2002,Nunavut,"Total, custodial admissions",Male,531
2001/2002,Nunavut,"Total, custodial admissions",Female,0
2001/2002,Nunavut,"Total, custodial admissions",Sex unknown,0
2001/2002,Nunavut,Sentenced,"Total, custodial admission by sex",313
2001/2002,Nunavut,Sentenced,Male,313
2001/2002,Nunavut,Sentenced,Female,0
2001/2002,Nunavut,Sentenced,Sex unknown,0
2001/2002,Nunavut,Remand,"Total, custodial admission by sex",218
2001/2002,Nunavut,Remand,Male,218
2001/2002,Nunavut,Remand,Female,0
2001/2002,Nunavut,Remand,Sex unknown,0
2002/2003,All Provinces and territories,"Total, custodial admissions","Total, custodial admission by sex",211092
2002/2003,All Provinces and territories,"Total, custodial admissions",Male,188993
2002/2003,All Provinces and territories,"Total, custodial admissions",Female,21854
2002/2003,All Provinces and territories,"Total, custodial admissions",Sex unknown,245
2002/2003,All Provinces and territories,Sentenced,"Total, custodial admission by sex",69033
2002/2003,All Provinces and territories,Sentenced,Male,62766
2002/2003,All Provinces and territories,Sentenced,Female,6137
2002/2003,All Provinces and territories,Sentenced,Sex unknown,130
2002/2003,All Provinces and territories,Remand,"Total, custodial admission by sex",115521
2002/2003,All Provinces and territories,Remand,Male,103365
2002/2003,All Provinces and territories,Remand,Female,12147
2002/2003,All Provinces and territories,Remand,Sex unknown,9
2002/2003,All Provinces and territories,Other custodial statuses,"Total, custodial admission by sex",26538
2002/2003,All Provinces and territories,Other custodial statuses,Male,22862
2002/2003,All Provinces and territories,Other custodial statuses,Female,3570
2002/2003,All Provinces and territories,Other custodial statuses,Sex unknown,106
2002/2003,Newfoundland and Labrador,"Total, custodial admissions","Total, custodial admission by sex",1675
2002/2003,Newfoundland and Labrador,"Total, custodial admissions",Male,1388
2002/2003,Newfoundland and Labrador,"Total, custodial admissions",Female,64
2002/2003,Newfoundland and Labrador,"Total, custodial admissions",Sex unknown,223
2002/2003,Newfoundland and Labrador,Sentenced,"Total, custodial admission by sex",1148
2002/2003,Newfoundland and Labrador,Sentenced,Male,977
2002/2003,Newfoundland and Labrador,Sentenced,Female,50
2002/2003,Newfoundland and Labrador,Sentenced,Sex unknown,121
2002/2003,Newfoundland and Labrador,Remand,"Total, custodial admission by sex",427
2002/2003,Newfoundland and Labrador,Remand,Male,411
2002/2003,Newfoundland and Labrador,Remand,Female,14
2002/2003,Newfoundland and Labrador,Remand,Sex unknown,2
2002/2003,Newfoundland and Labrador,Other custodial statuses,"Total, custodial admission by sex",100
2002/2003,Newfoundland and Labrador,Other custodial statuses,Male,0
2002/2003,Newfoundland and Labrador,Other custodial statuses,Female,0
2002/2003,Newfoundland and Labrador,Other custodial statuses,Sex unknown,100
2002/2003,Prince Edward Island,"Total, custodial admissions","Total, custodial admission by sex",859
