REF_DATE,GEO,Custodial and community supervision,VALUE
1978/1979,Quebec,"Incarceration rates per 100,000 adults",46.94
1978/1979,Quebec,Total community supervision count,4948
1978/1979,Quebec,"Probation, community supervision",4948
1978/1979,Quebec,"Conditional sentence, community supervision",
1978/1979,Quebec,"Provincial parole, community supervision",
1978/1979,Quebec,"Probation rates per 100,000 adults",108.74
1978/1979,Ontario,Total actual-in count,5235
1978/1979,Ontario,"Sentenced, actual-in count",4133
1978/1979,Ontario,"Remand, actual-in count",1099
1978/1979,Ontario,"Other statuses, actual-in count",3
1978/1979,Ontario,On-register count,
1978/1979,Ontario,"Incarceration rates per 100,000 adults",86.3
1978/1979,Ontario,Total community supervision count,27027
1978/1979,Ontario,"Probation, community supervision",26362
1978/1979,Ontario,"Conditional sentence, community supervision",
1978/1979,Ontario,"Provincial parole, community supervision",665
1978/1979,Ontario,"Probation rates per 100,000 adults",434.57
1978/1979,Manitoba,Total actual-in count,714
1978/1979,Manitoba,"Sentenced, actual-in count",419
1978/1979,Manitoba,"Remand, actual-in count",293
1978/1979,Manitoba,"Other statuses, actual-in count",2
1978/1979,Manitoba,On-register count,
1978/1979,Manitoba,"Incarceration rates per 100,000 adults",98.68
1978/1979,Manitoba,Total community supervision count,1688
1978/1979,Manitoba,"Probation, community supervision",1688
1978/1979,Manitoba,"Conditional sentence, community supervision",
1978/1979,Manitoba,"Probation rates per 100,000 adults",233.28
1978/1979,Saskatchewan,Total actual-in count,831
1978/1979,Saskatchewan,"Sentenced, actual-in count",728
1978/1979,Saskatchewan,"Remand, actual-in count",103
1978/1979,Saskatchewan,On-register count,
1978/1979,Saskatchewan,"Incarceration rates per 100,000 adults",128.31
1978/1979,Saskatchewan,Total community supervision count,2248
1978/1979,Saskatchewan,"Probation, community supervision",2248
1978/1979,Saskatchewan,"Conditional sentence, community supervision",
1978/1979,Saskatchewan,"Probation rates per 100,000 adults",347.1
1978/1979,Alberta,Total actual-in count,1814
1978/1979,Alberta,"Sentenced, actual-in count",1344
1978/1979,Alberta,"Remand, actual-in count",470
1978/1979,Alberta,On-register count,
1978/1979,Alberta,"Incarceration rates per 100,000 adults",131.38
1978/1979,Alberta,Total community supervision count,6018
1978/1979,Alberta,"Probation, community supervision",6018
1978/1979,Alberta,"Conditional sentence, community supervision",
1978/1979,Alberta,"Probation rates per 100,000 adults",435.87
1978/1979,British Columbia,Total actual-in count,1612
1978/1979,British Columbia,"Sentenced, actual-in count",1216
1978/1979,British Columbia,"Remand, actual-in count",396
1978/1979,British Columbia,"Other statuses, actual-in count",
1978/1979,British Columbia,On-register count,
1978/1979,British Columbia,"Incarceration rates per 100,000 adults",85.97
1978/1979,British Columbia,Total community supervision count,7515
1978/1979,British Columbia,"Probation, community supervision",7478
1978/1979,British Columbia,"Conditional sentence, community supervision",
1978/1979,British Columbia,"Provincial parole, community supervision",37
1978/1979,British Columbia,"Probation rates per 100,000 adults",398.82
1978/1979,Yukon,Total actual-in count,61
1978/1979,Yukon,"Sentenced, actual-in count",54
1978/1979,Yukon,"Remand, actual-in count",7
1978/1979,Yukon,"Other statuses, actual-in count",
1978/1979,Yukon,On-register count,
1978/1979,Yukon,"Incarceration rates per 100,000 adults",385.25
1978/1979,Yukon,Total community supervision count,436
1978/1979,Yukon,"Probation, community supervision",436
1978/1979,Yukon,"Conditional sentence, community supervision",
1978/1979,Yukon,"Probation rates per 100,000 adults",2753.57
1978/1979,Northwest Territories including Nunavut,Total actual-in count,120
1978/1979,Northwest Territories including Nunavut,"Sentenced, actual-in count",110
1978/1979,Northwest Territories including Nunavut,"Remand, actual-in count",10
1978/1979,Northwest Territories including Nunavut,"Incarceration rates per 100,000 adults",465.15
1978/1979,Northwest Territories including Nunavut,Total community supervision count,290
1978/1979,Northwest Territories including Nunavut,"Probation, community supervision",290
1978/1979,Northwest Territories including Nunavut,"Probation rates per 100,000 adults",1124.12
1978/1979,Northwest Territories,Total actual-in count,
1978/1979,Northwest Territories,"Sentenced, actual-in count",
1978/1979,Northwest Territories,"Remand, actual-in count",
1978/1979,Northwest Territories,"Other statuses, actual-in count",
1978/1979,Northwest Territories,On-register count,
1978/1979,Northwest Territories,"Incarceration rates per 100,000 adults",
1978/1979,Northwest Territories,Total community supervision count,
1978/1979,Northwest Territories,"Probation, community supervision",
1978/1979,Northwest Territories,"Conditional sentence, community supervision",
1978/1979,Northwest Territories,"Probation rates per 100,000 adults",
1978/1979,Nunavut,Total actual-in count,
1978/1979,Nunavut,"Sentenced, actual-in count",
1978/1979,Nunavut,"Remand, actual-in count",
1978/1979,Nunavut,"Other statuses, actual-in count",
1978/1979,Nunavut,On-register count,
1978/1979,Nunavut,"Incarceration rates per 100,000 adults",
1978/1979,Nunavut,Total community supervision count,
1978/1979,Nunavut,"Probation, community supervision",
1978/1979,Nunavut,"Conditional sentence, community supervision",
1978/1979,Nunavut,"Probation rates per 100,000 adults",
1979/1980,Provinces and Territories,Total actual-in count,13363
1979/1980,Provinces and Territories,"Sentenced, actual-in count",10393
1979/1980,Provinces and Territories,"Remand, actual-in count",2948
1979/1980,Provinces and Territories,"Other statuses, actual-in count",22
1979/1980,Provinces and Territories,On-register count,3017
1979/1980,Provinces and Territories,"Incarceration rates per 100,000 adults",78.07
1979/1980,Provinces and Territories,Total community supervision count,60799
1979/1980,Provinces and Territories,"Probation, community supervision",59248
1979/1980,Provinces and Territories,"Conditional sentence, community supervision",
1979/1980,Provinces and Territories,"Provincial parole, community supervision",1551
1979/1980,Provinces and Territories,"Probation rates per 100,000 adults",346.16
1979/1980,Newfoundland and Labrador,Total actual-in count,234
1979/1980,Newfoundland and Labrador,"Sentenced, actual-in count",224
1979/1980,Newfoundland and Labrador,"Remand, actual-in count",10
1979/1980,Newfoundland and Labrador,"Other statuses, actual-in count",
1979/1980,Newfoundland and Labrador,On-register count,256
1979/1980,Newfoundland and Labrador,"Incarceration rates per 100,000 adults",66.07
1979/1980,Newfoundland and Labrador,Total community supervision count,445
1979/1980,Newfoundland and Labrador,"Probation, community supervision",445
1979/1980,Newfoundland and Labrador,"Conditional sentence, community supervision",
1979/1980,Newfoundland and Labrador,"Probation rates per 100,000 adults",125.64
1979/1980,Prince Edward Island,Total actual-in count,70
1979/1980,Prince Edward Island,"Sentenced, actual-in count",56
1979/1980,Prince Edward Island,"Remand, actual-in count",7
1979/1980,Prince Edward Island,"Other statuses, actual-in count",7
1979/1980,Prince Edward Island,On-register count,
1979/1980,Prince Edward Island,"Incarceration rates per 100,000 adults",84.44
1979/1980,Prince Edward Island,Total community supervision count,260
1979/1980,Prince Edward Island,"Probation, community supervision",260
1979/1980,Prince Edward Island,"Conditional sentence, community supervision",
1979/1980,Prince Edward Island,"Probation rates per 100,000 adults",313.64
1979/1980,Nova Scotia,Total actual-in count,413
1979/1980,Nova Scotia,"Sentenced, actual-in count",351
1979/1980,Nova Scotia,"Remand, actual-in count",62
1979/1980,Nova Scotia,"Other statuses, actual-in count",
1979/1980,Nova Scotia,On-register count,
1979/1980,Nova Scotia,"Incarceration rates per 100,000 adults",70.36
1979/1980,Nova Scotia,Total community supervision count,2623
1979/1980,Nova Scotia,"Probation, community supervision",2623
1979/1980,Nova Scotia,"Conditional sentence, community supervision",
1979/1980,Nova Scotia,"Probation rates per 100,000 adults",446.83
1979/1980,New Brunswick,Total actual-in count,329
1979/1980,New Brunswick,"Sentenced, actual-in count",301
1979/1980,New Brunswick,"Remand, actual-in count",25
1979/1980,New Brunswick,"Other statuses, actual-in count",3
1979/1980,New Brunswick,On-register count,367
1979/1980,New Brunswick,"Incarceration rates per 100,000 adults",69.32
1979/1980,New Brunswick,Total community supervision count,1573
1979/1980,New Brunswick,"Probation, community supervision",1573
1979/1980,New Brunswick,"Conditional sentence, community supervision",
1979/1980,New Brunswick,"Probation rates per 100,000 adults",331.42
1979/1980,Quebec,Total actual-in count,2131
1979/1980,Quebec,"Sentenced, actual-in count",1574
1979/1980,Quebec,"Remand, actual-in count",551
1979/1980,Quebec,"Other statuses, actual-in count",6
1979/1980,Quebec,On-register count,2394
1979/1980,Quebec,"Incarceration rates per 100,000 adults",46.11
1979/1980,Quebec,Total community supervision count,5365
1979/1980,Quebec,"Probation, community supervision",4891
1979/1980,Quebec,"Conditional sentence, community supervision",
1979/1980,Quebec,"Provincial parole, community supervision",474
1979/1980,Quebec,"Probation rates per 100,000 adults",105.82
1979/1980,Ontario,Total actual-in count,5039
1979/1980,Ontario,"Sentenced, actual-in count",4011
1979/1980,Ontario,"Remand, actual-in count",1024
1979/1980,Ontario,"Other statuses, actual-in count",4
1979/1980,Ontario,On-register count,
1979/1980,Ontario,"Incarceration rates per 100,000 adults",81.46
1979/1980,Ontario,Total community supervision count,31003
1979/1980,Ontario,"Probation, community supervision",29941
1979/1980,Ontario,"Conditional sentence, community supervision",
1979/1980,Ontario,"Provincial parole, community supervision",1062
1979/1980,Ontario,"Probation rates per 100,000 adults",484.02
1979/1980,Manitoba,Total actual-in count,794
1979/1980,Manitoba,"Sentenced, actual-in count",466
1979/1980,Manitoba,"Remand, actual-in count",326
1979/1980,Manitoba,"Other statuses, actual-in count",2
1979/1980,Manitoba,On-register count,
1979/1980,Manitoba,"Incarceration rates per 100,000 adults",109.04
1979/1980,Manitoba,Total community supervision count,1688
1979/1980,Manitoba,"Probation, community supervision",1688
1979/1980,Manitoba,"Conditional sentence, community supervision",
1979/1980,Manitoba,"Probation rates per 100,000 adults",231.82
1979/1980,Saskatchewan,Total actual-in count,838
1979/1980,Saskatchewan,"Sentenced, actual-in count",732
1979/1980,Saskatchewan,"Remand, actual-in count",106
1979/1980,Saskatchewan,On-register count,
1979/1980,Saskatchewan,"Incarceration rates per 100,000 adults",127.33
1979/1980,Saskatchewan,Total community supervision count,2482
1979/1980,Saskatchewan,"Probation, community supervision",2482
1979/1980,Saskatchewan,"Conditional sentence, community supervision",
1979/1980,Saskatchewan,"Probation rates per 100,000 adults",377.14
1979/1980,Alberta,Total actual-in count,1730
1979/1980,Alberta,"Sentenced, actual-in count",1282
1979/1980,Alberta,"Remand, actual-in count",448
1979/1980,Alberta,On-register count,
1979/1980,Alberta,"Incarceration rates per 100,000 adults",119.25
1979/1980,Alberta,Total community supervision count,6699
1979/1980,Alberta,"Probation, community supervision",6699
1979/1980,Alberta,"Conditional sentence, community supervision",
1979/1980,Alberta,"Probation rates per 100,000 adults",461.77
1979/1980,British Columbia,Total actual-in count,1599
1979/1980,British Columbia,"Sentenced, actual-in count",1227
1979/1980,British Columbia,"Remand, actual-in count",372
1979/1980,British Columbia,"Other statuses, actual-in count",
1979/1980,British Columbia,On-register count,
1979/1980,British Columbia,"Incarceration rates per 100,000 adults",82.86
1979/1980,British Columbia,Total community supervision count,8002
1979/1980,British Columbia,"Probation, community supervision",7987
1979/1980,British Columbia,"Conditional sentence, community supervision",
1979/1980,British Columbia,"Provincial parole, community supervision",15
1979/1980,British Columbia,"Probation rates per 100,000 adults",413.88
1979/1980,Yukon,Total actual-in count,48
1979/1980,Yukon,"Sentenced, actual-in count",43
1979/1980,Yukon,"Remand, actual-in count",5
1979/1980,Yukon,"Other statuses, actual-in count",
1979/1980,Yukon,On-register count,
1979/1980,Yukon,"Incarceration rates per 100,000 adults",297.66
1979/1980,Yukon,Total community supervision count,369
1979/1980,Yukon,"Probation, community supervision",369
1979/1980,Yukon,"Conditional sentence, community supervision",
1979/1980,Yukon,"Probation rates per 100,000 adults",2288.23
1979/1980,Northwest Territories including Nunavut,Total actual-in count,138
1979/1980,Northwest Territories including Nunavut,"Sentenced, actual-in count",126
1979/1980,Northwest Territories including Nunavut,"Remand, actual-in count",12
1979/1980,Northwest Territories including Nunavut,"Incarceration rates per 100,000 adults",523.54
1979/1980,Northwest Territories including Nunavut,Total community supervision count,290
1979/1980,Northwest Territories including Nunavut,"Probation, community supervision",290
1979/1980,Northwest Territories including Nunavut,"Probation rates per 100,000 adults",1100.19
1979/1980,Northwest Territories,Total actual-in count,
1979/1980,Northwest Territories,"Sentenced, actual-in count",
1979/1980,Northwest Territories,"Remand, actual-in count",
1979/1980,Northwest Territories,"Other statuses, actual-in count",
1979/1980,Northwest Territories,On-register count,
1979/1980,Northwest Territories,"Incarceration rates per 100,000 adults",
1979/1980,Northwest Territories,Total community supervision count,
1979/1980,Northwest Territories,"Probation, community supervision",
1979/1980,Northwest Territories,"Conditional sentence, community supervision",
1979/1980,Northwest Territories,"Probation rates per 100,000 adults",
1979/1980,Nunavut,Total actual-in count,
1979/1980,Nunavut,"Sentenced, actual-in count",
1979/1980,Nunavut,"Remand, actual-in count",
1979/1980,Nunavut,"Other statuses, actual-in count",
1979/1980,Nunavut,On-register count,
1979/1980,Nunavut,"Incarceration rates per 100,000 adults",
1979/1980,Nunavut,Total community supervision count,
1979/1980,Nunavut,"Probation, community supervision",
1979/1980,Nunavut,"Conditional sentence, community supervision",
1979/1980,Nunavut,"Probation rates per 100,000 adults",
1980/1981,Provinces and Territories,Total actual-in count,13851
1980/1981,Provinces and Territories,"Sentenced, actual-in count",10832
1980/1981,Provinces and Territories,"Remand, actual-in count",2997
1980/1981,Provinces and Territories,"Other statuses, actual-in count",22
1980/1981,Provinces and Territories,On-register count,3413
1980/1981,Provinces and Territories,"Incarceration rates per 100,000 adults",79.1
1980/1981,Provinces and Territories,Total community supervision count,64744
1980/1981,Provinces and Territories,"Probation, community supervision",62656
1980/1981,Provinces and Territories,"Conditional sentence, community supervision",
1980/1981,Provinces and Territories,"Provincial parole, community supervision",2088
1980/1981,Provinces and Territories,"Probation rates per 100,000 adults",357.84
1980/1981,Newfoundland and Labrador,Total actual-in count,238
1980/1981,Newfoundland and Labrador,"Sentenced, actual-in count",229
1980/1981,Newfoundland and Labrador,"Remand, actual-in count",9
1980/1981,Newfoundland and Labrador,"Other statuses, actual-in count",
1980/1981,Newfoundland and Labrador,On-register count,262
1980/1981,Newfoundland and Labrador,"Incarceration rates per 100,000 adults",66.01
1980/1981,Newfoundland and Labrador,Total community supervision count,663
1980/1981,Newfoundland and Labrador,"Probation, community supervision",663
1980/1981,Newfoundland and Labrador,"Conditional sentence, community supervision",
1980/1981,Newfoundland and Labrador,"Probation rates per 100,000 adults",183.89
1980/1981,Prince Edward Island,Total actual-in count,68
1980/1981,Prince Edward Island,"Sentenced, actual-in count",55
1980/1981,Prince Edward Island,"Remand, actual-in count",7
1980/1981,Prince Edward Island,"Other statuses, actual-in count",6
1980/1981,Prince Edward Island,On-register count,
1980/1981,Prince Edward Island,"Incarceration rates per 100,000 adults",80.73
1980/1981,Prince Edward Island,Total community supervision count,358
1980/1981,Prince Edward Island,"Probation, community supervision",358
1980/1981,Prince Edward Island,"Conditional sentence, community supervision",
1980/1981,Prince Edward Island,"Probation rates per 100,000 adults",425.02
1980/1981,Nova Scotia,Total actual-in count,382
1980/1981,Nova Scotia,"Sentenced, actual-in count",323
1980/1981,Nova Scotia,"Remand, actual-in count",59
1980/1981,Nova Scotia,"Other statuses, actual-in count",
1980/1981,Nova Scotia,On-register count,
1980/1981,Nova Scotia,"Incarceration rates per 100,000 adults",64.05
1980/1981,Nova Scotia,Total community supervision count,2946
1980/1981,Nova Scotia,"Probation, community supervision",2946
1980/1981,Nova Scotia,"Conditional sentence, community supervision",
1980/1981,Nova Scotia,"Probation rates per 100,000 adults",493.99
1980/1981,New Brunswick,Total actual-in count,481
1980/1981,New Brunswick,"Sentenced, actual-in count",440
1980/1981,New Brunswick,"Remand, actual-in count",37
1980/1981,New Brunswick,"Other statuses, actual-in count",4
1980/1981,New Brunswick,On-register count,537
1980/1981,New Brunswick,"Incarceration rates per 100,000 adults",99.82
1980/1981,New Brunswick,Total community supervision count,1421
1980/1981,New Brunswick,"Probation, community supervision",1421
1980/1981,New Brunswick,"Conditional sentence, community supervision",
1980/1981,New Brunswick,"Probation rates per 100,000 adults",294.89
1980/1981,Quebec,Total actual-in count,2327
1980/1981,Quebec,"Sentenced, actual-in count",1719
1980/1981,Quebec,"Remand, actual-in count",602
1980/1981,Quebec,"Other statuses, actual-in count",6
1980/1981,Quebec,On-register count,2614
1980/1981,Quebec,"Incarceration rates per 100,000 adults",49.55
1980/1981,Quebec,Total community supervision count,5809
1980/1981,Quebec,"Probation, community supervision",4779
1980/1981,Quebec,"Conditional sentence, community supervision",
1980/1981,Quebec,"Provincial parole, community supervision",1030
1980/1981,Quebec,"Probation rates per 100,000 adults",101.77
1980/1981,Ontario,Total actual-in count,5250
1980/1981,Ontario,"Sentenced, actual-in count",4179
1980/1981,Ontario,"Remand, actual-in count",1067
1980/1981,Ontario,"Other statuses, actual-in count",4
1980/1981,Ontario,On-register count,
1980/1981,Ontario,"Incarceration rates per 100,000 adults",83.23
1980/1981,Ontario,Total community supervision count,32871
1980/1981,Ontario,"Probation, community supervision",32011
1980/1981,Ontario,"Conditional sentence, community supervision",
1980/1981,Ontario,"Provincial parole, community supervision",860
1980/1981,Ontario,"Probation rates per 100,000 adults",507.45
1980/1981,Manitoba,Total actual-in count,714
1980/1981,Manitoba,"Sentenced, actual-in count",419
1980/1981,Manitoba,"Remand, actual-in count",293
1980/1981,Manitoba,"Other statuses, actual-in count",2
1980/1981,Manitoba,On-register count,
1980/1981,Manitoba,"Incarceration rates per 100,000 adults",97.45
1980/1981,Manitoba,Total community supervision count,1659
1980/1981,Manitoba,"Probation, community supervision",1659
1980/1981,Manitoba,"Conditional sentence, community supervision",
1980/1981,Manitoba,"Probation rates per 100,000 adults",226.43
1980/1981,Saskatchewan,Total actual-in count,842
1980/1981,Saskatchewan,"Sentenced, actual-in count",742
1980/1981,Saskatchewan,"Remand, actual-in count",100
1980/1981,Saskatchewan,On-register count,
1980/1981,Saskatchewan,"Incarceration rates per 100,000 adults",125.99
1980/1981,Saskatchewan,Total community supervision count,2254
1980/1981,Saskatchewan,"Probation, community supervision",2254
1980/1981,Saskatchewan,"Conditional sentence, community supervision",
1980/1981,Saskatchewan,"Probation rates per 100,000 adults",337.26
1980/1981,Alberta,Total actual-in count,1876
1980/1981,Alberta,"Sentenced, actual-in count",1416
1980/1981,Alberta,"Remand, actual-in count",460
1980/1981,Alberta,On-register count,
1980/1981,Alberta,"Incarceration rates per 100,000 adults",122.35
1980/1981,Alberta,Total community supervision count,7062
1980/1981,Alberta,"Probation, community supervision",7062
1980/1981,Alberta,"Conditional sentence, community supervision",
1980/1981,Alberta,"Probation rates per 100,000 adults",460.59
1980/1981,British Columbia,Total actual-in count,1469
1980/1981,British Columbia,"Sentenced, actual-in count",1119
1980/1981,British Columbia,"Remand, actual-in count",350
1980/1981,British Columbia,"Other statuses, actual-in count",
1980/1981,British Columbia,On-register count,
1980/1981,British Columbia,"Incarceration rates per 100,000 adults",73.28
1980/1981,British Columbia,Total community supervision count,9017
1980/1981,British Columbia,"Probation, community supervision",8819
1980/1981,British Columbia,"Conditional sentence, community supervision",
1980/1981,British Columbia,"Provincial parole, community supervision",198
1980/1981,British Columbia,"Probation rates per 100,000 adults",439.93
1980/1981,Yukon,Total actual-in count,59
1980/1981,Yukon,"Sentenced, actual-in count",54
1980/1981,Yukon,"Remand, actual-in count",5
1980/1981,Yukon,"Other statuses, actual-in count",
1980/1981,Yukon,On-register count,
1980/1981,Yukon,"Incarceration rates per 100,000 adults",357.21
1980/1981,Yukon,Total community supervision count,394
1980/1981,Yukon,"Probation, community supervision",394
1980/1981,Yukon,"Conditional sentence, community supervision",
1980/1981,Yukon,"Probation rates per 100,000 adults",2385.42
1980/1981,Northwest Territories including Nunavut,Total actual-in count,145
1980/1981,Northwest Territories including Nunavut,"Sentenced, actual-in count",137
1980/1981,Northwest Territories including Nunavut,"Remand, actual-in count",8
1980/1981,Northwest Territories including Nunavut,"Incarceration rates per 100,000 adults",537.69
1980/1981,Northwest Territories including Nunavut,Total community supervision count,290
1980/1981,Northwest Territories including Nunavut,"Probation, community supervision",290
1980/1981,Northwest Territories including Nunavut,"Probation rates per 100,000 adults",1075.39
1980/1981,Northwest Territories,Total actual-in count,
1980/1981,Northwest Territories,"Sentenced, actual-in count",
1980/1981,Northwest Territories,"Remand, actual-in count",
1980/1981,Northwest Territories,"Other statuses, actual-in count",
1980/1981,Northwest Territories,On-register count,
1980/1981,Northwest Territories,"Incarceration rates per 100,000 adults",
1980/1981,Northwest Territories,Total community supervision count,
1980/1981,Northwest Territories,"Probation, community supervision",
1980/1981,Northwest Territories,"Conditional sentence, community supervision",
1980/1981,Northwest Territories,"Probation rates per 100,000 adults",
1980/1981,Nunavut,Total actual-in count,
1980/1981,Nunavut,"Sentenced, actual-in count",
1980/1981,Nunavut,"Remand, actual-in count",
1980/1981,Nunavut,"Other statuses, actual-in count",
1980/1981,Nunavut,On-register count,
1980/1981,Nunavut,"Incarceration rates per 100,000 adults",
1980/1981,Nunavut,Total community supervision count,
1980/1981,Nunavut,"Probation, community supervision",
1980/1981,Nunavut,"Conditional sentence, community supervision",
1980/1981,Nunavut,"Probation rates per 100,000 adults",
1981/1982,Provinces and Territories,Total actual-in count,15126
1981/1982,Provinces and Territories,"Sentenced, actual-in count",11950
1981/1982,Provinces and Territories,"Remand, actual-in count",3144
1981/1982,Provinces and Territories,"Other statuses, actual-in count",32
1981/1982,Provinces and Territories,On-register count,3730
1981/1982,Provinces and Territories,"Incarceration rates per 100,000 adults",84.47
1981/1982,Provinces and Territories,Total community supervision count,67764
1981/1982,Provinces and Territories,"Probation, community supervision",65123
1981/1982,Provinces and Territories,"Conditional sentence, community supervision",
1981/1982,Provinces and Territories,"Provincial parole, community supervision",2641
1981/1982,Provinces and Territories,"Probation rates per 100,000 adults",363.69
1981/1982,Newfoundland and Labrador,Total actual-in count,269
1981/1982,Newfoundland and Labrador,"Sentenced, actual-in count",253
1981/1982,Newfoundland and Labrador,"Remand, actual-in count",8
1981/1982,Newfoundland and Labrador,"Other statuses, actual-in count",8
1981/1982,Newfoundland and Labrador,On-register count,289
1981/1982,Newfoundland and Labrador,"Incarceration rates per 100,000 adults",73.36
1981/1982,Newfoundland and Labrador,Total community supervision count,710
1981/1982,Newfoundland and Labrador,"Probation, community supervision",710
1981/1982,Newfoundland and Labrador,"Conditional sentence, community supervision",
1981/1982,Newfoundland and Labrador,"Probation rates per 100,000 adults",193.63
1981/1982,Prince Edward Island,Total actual-in count,91
1981/1982,Prince Edward Island,"Sentenced, actual-in count",75
1981/1982,Prince Edward Island,"Remand, actual-in count",9
1981/1982,Prince Edward Island,"Other statuses, actual-in count",7
1981/1982,Prince Edward Island,On-register count,
1981/1982,Prince Edward Island,"Incarceration rates per 100,000 adults",106.71
1981/1982,Prince Edward Island,Total community supervision count,457
1981/1982,Prince Edward Island,"Probation, community supervision",457
1981/1982,Prince Edward Island,"Conditional sentence, community supervision",
1981/1982,Prince Edward Island,"Probation rates per 100,000 adults",535.89
1981/1982,Nova Scotia,Total actual-in count,419
1981/1982,Nova Scotia,"Sentenced, actual-in count",361
1981/1982,Nova Scotia,"Remand, actual-in count",58
1981/1982,Nova Scotia,"Other statuses, actual-in count",
1981/1982,Nova Scotia,On-register count,
1981/1982,Nova Scotia,"Incarceration rates per 100,000 adults",69.3
1981/1982,Nova Scotia,Total community supervision count,3248
1981/1982,Nova Scotia,"Probation, community supervision",3248
1981/1982,Nova Scotia,"Conditional sentence, community supervision",
1981/1982,Nova Scotia,"Probation rates per 100,000 adults",537.23
1981/1982,New Brunswick,Total actual-in count,412
1981/1982,New Brunswick,"Sentenced, actual-in count",376
1981/1982,New Brunswick,"Remand, actual-in count",32
1981/1982,New Brunswick,"Other statuses, actual-in count",4
1981/1982,New Brunswick,On-register count,460
1981/1982,New Brunswick,"Incarceration rates per 100,000 adults",84.47
1981/1982,New Brunswick,Total community supervision count,1706
1981/1982,New Brunswick,"Probation, community supervision",1706
1981/1982,New Brunswick,"Conditional sentence, community supervision",
1981/1982,New Brunswick,"Probation rates per 100,000 adults",349.77
1981/1982,Quebec,Total actual-in count,2653
1981/1982,Quebec,"Sentenced, actual-in count",1960
1981/1982,Quebec,"Remand, actual-in count",686
1981/1982,Quebec,"Other statuses, actual-in count",7
1981/1982,Quebec,On-register count,2981
1981/1982,Quebec,"Incarceration rates per 100,000 adults",55.59
1981/1982,Quebec,Total community supervision count,5331
1981/1982,Quebec,"Probation, community supervision",4229
1981/1982,Quebec,"Conditional sentence, community supervision",
1981/1982,Quebec,"Provincial parole, community supervision",1102
1981/1982,Quebec,"Probation rates per 100,000 adults",88.61
1981/1982,Ontario,Total actual-in count,5663
1981/1982,Ontario,"Sentenced, actual-in count",4508
1981/1982,Ontario,"Remand, actual-in count",1150
