REF_DATE,GEO,Custodial admissions,Indigenous identity,VALUE
2000/2001,Nunavut,Sentenced,"Total, custodial admissions by Indigenous identity",229
2000/2001,Nunavut,Sentenced,Indigenous identity,
2000/2001,Nunavut,Sentenced,Non-Indigenous identity,
2000/2001,Nunavut,Sentenced,Indigenous identity unknown,229
2000/2001,Nunavut,Remand,"Total, custodial admissions by Indigenous identity",205
2000/2001,Nunavut,Remand,Indigenous identity,
2000/2001,Nunavut,Remand,Non-Indigenous identity,
2000/2001,Nunavut,Remand,Indigenous identity unknown,205
2001/2002,All Provinces and territories,"Total, custodial admissions","Total, custodial admissions by Indigenous identity",205885
2001/2002,All Provinces and territories,"Total, custodial admissions",Indigenous identity,34075
2001/2002,All Provinces and territories,"Total, custodial admissions",Non-Indigenous identity,170478
2001/2002,All Provinces and territories,"Total, custodial admissions",Indigenous identity unknown,1332
2001/2002,All Provinces and territories,Sentenced,"Total, custodial admissions by Indigenous identity",68087
2001/2002,All Provinces and territories,Sentenced,Indigenous identity,10787
2001/2002,All Provinces and territories,Sentenced,Non-Indigenous identity,56831
2001/2002,All Provinces and territories,Sentenced,Indigenous identity unknown,469
2001/2002,All Provinces and territories,Remand,"Total, custodial admissions by Indigenous identity",111601
2001/2002,All Provinces and territories,Remand,Indigenous identity,17155
2001/2002,All Provinces and territories,Remand,Non-Indigenous identity,93666
2001/2002,All Provinces and territories,Remand,Indigenous identity unknown,780
2001/2002,All Provinces and territories,Other custodial statuses,"Total, custodial admissions by Indigenous identity",26197
2001/2002,All Provinces and territories,Other custodial statuses,Indigenous identity,6133
2001/2002,All Provinces and territories,Other custodial statuses,Non-Indigenous identity,19981
2001/2002,All Provinces and territories,Other custodial statuses,Indigenous identity unknown,83
2001/2002,Newfoundland and Labrador,"Total, custodial admissions","Total, custodial admissions by Indigenous identity",1750
2001/2002,Newfoundland and Labrador,"Total, custodial admissions",Indigenous identity,33
2001/2002,Newfoundland and Labrador,"Total, custodial admissions",Non-Indigenous identity,1717
2001/2002,Newfoundland and Labrador,"Total, custodial admissions",Indigenous identity unknown,0
2001/2002,Newfoundland and Labrador,Sentenced,"Total, custodial admissions by Indigenous identity",1235
2001/2002,Newfoundland and Labrador,Sentenced,Indigenous identity,18
2001/2002,Newfoundland and Labrador,Sentenced,Non-Indigenous identity,1217
2001/2002,Newfoundland and Labrador,Sentenced,Indigenous identity unknown,0
2001/2002,Newfoundland and Labrador,Remand,"Total, custodial admissions by Indigenous identity",422
2001/2002,Newfoundland and Labrador,Remand,Indigenous identity,14
2001/2002,Newfoundland and Labrador,Remand,Non-Indigenous identity,408
2001/2002,Newfoundland and Labrador,Remand,Indigenous identity unknown,0
2001/2002,Newfoundland and Labrador,Other custodial statuses,"Total, custodial admissions by Indigenous identity",93
2001/2002,Newfoundland and Labrador,Other custodial statuses,Indigenous identity,1
2001/2002,Newfoundland and Labrador,Other custodial statuses,Non-Indigenous identity,92
2001/2002,Newfoundland and Labrador,Other custodial statuses,Indigenous identity unknown,0
2001/2002,Prince Edward Island,"Total, custodial admissions","Total, custodial admissions by Indigenous identity",828
2001/2002,Prince Edward Island,"Total, custodial admissions",Indigenous identity,29
2001/2002,Prince Edward Island,"Total, custodial admissions",Non-Indigenous identity,799
2001/2002,Prince Edward Island,"Total, custodial admissions",Indigenous identity unknown,0
2001/2002,Prince Edward Island,Sentenced,"Total, custodial admissions by Indigenous identity",650
2001/2002,Prince Edward Island,Sentenced,Indigenous identity,19
2001/2002,Prince Edward Island,Sentenced,Non-Indigenous identity,631
2001/2002,Prince Edward Island,Sentenced,Indigenous identity unknown,0
2001/2002,Prince Edward Island,Remand,"Total, custodial admissions by Indigenous identity",178
2001/2002,Prince Edward Island,Remand,Indigenous identity,10
2001/2002,Prince Edward Island,Remand,Non-Indigenous identity,168
2001/2002,Prince Edward Island,Remand,Indigenous identity unknown,0
2001/2002,Prince Edward Island,Other custodial statuses,"Total, custodial admissions by Indigenous identity",
2001/2002,Prince Edward Island,Other custodial statuses,Indigenous identity,
2001/2002,Prince Edward Island,Other custodial statuses,Non-Indigenous identity,
2001/2002,Prince Edward Island,Other custodial statuses,Indigenous identity unknown,
2001/2002,Nova Scotia,"Total, custodial admissions","Total, custodial admissions by Indigenous identity",3855
2001/2002,Nova Scotia,"Total, custodial admissions",Indigenous identity,271
2001/2002,Nova Scotia,"Total, custodial admissions",Non-Indigenous identity,3454
2001/2002,Nova Scotia,"Total, custodial admissions",Indigenous identity unknown,130
2001/2002,Nova Scotia,Sentenced,"Total, custodial admissions by Indigenous identity",1507
2001/2002,Nova Scotia,Sentenced,Indigenous identity,102
2001/2002,Nova Scotia,Sentenced,Non-Indigenous identity,1360
2001/2002,Nova Scotia,Sentenced,Indigenous identity unknown,45
2001/2002,Nova Scotia,Remand,"Total, custodial admissions by Indigenous identity",1881
2001/2002,Nova Scotia,Remand,Indigenous identity,151
2001/2002,Nova Scotia,Remand,Non-Indigenous identity,1652
2001/2002,Nova Scotia,Remand,Indigenous identity unknown,78
2001/2002,Nova Scotia,Other custodial statuses,"Total, custodial admissions by Indigenous identity",467
2001/2002,Nova Scotia,Other custodial statuses,Indigenous identity,18
2001/2002,Nova Scotia,Other custodial statuses,Non-Indigenous identity,442
2001/2002,Nova Scotia,Other custodial statuses,Indigenous identity unknown,7
2001/2002,New Brunswick,"Total, custodial admissions","Total, custodial admissions by Indigenous identity",3466
2001/2002,New Brunswick,"Total, custodial admissions",Indigenous identity,270
2001/2002,New Brunswick,"Total, custodial admissions",Non-Indigenous identity,3120
2001/2002,New Brunswick,"Total, custodial admissions",Indigenous identity unknown,76
2001/2002,New Brunswick,Sentenced,"Total, custodial admissions by Indigenous identity",1555
2001/2002,New Brunswick,Sentenced,Indigenous identity,116
2001/2002,New Brunswick,Sentenced,Non-Indigenous identity,1420
2001/2002,New Brunswick,Sentenced,Indigenous identity unknown,19
2001/2002,New Brunswick,Remand,"Total, custodial admissions by Indigenous identity",1337
2001/2002,New Brunswick,Remand,Indigenous identity,107
2001/2002,New Brunswick,Remand,Non-Indigenous identity,1214
2001/2002,New Brunswick,Remand,Indigenous identity unknown,16
2001/2002,New Brunswick,Other custodial statuses,"Total, custodial admissions by Indigenous identity",574
2001/2002,New Brunswick,Other custodial statuses,Indigenous identity,47
2001/2002,New Brunswick,Other custodial statuses,Non-Indigenous identity,486
2001/2002,New Brunswick,Other custodial statuses,Indigenous identity unknown,41
2001/2002,Quebec,"Total, custodial admissions","Total, custodial admissions by Indigenous identity",44697
2001/2002,Quebec,"Total, custodial admissions",Indigenous identity,1380
2001/2002,Quebec,"Total, custodial admissions",Non-Indigenous identity,42510
2001/2002,Quebec,"Total, custodial admissions",Indigenous identity unknown,807
2001/2002,Quebec,Sentenced,"Total, custodial admissions by Indigenous identity",14372
2001/2002,Quebec,Sentenced,Indigenous identity,266
2001/2002,Quebec,Sentenced,Non-Indigenous identity,13916
2001/2002,Quebec,Sentenced,Indigenous identity unknown,190
2001/2002,Quebec,Remand,"Total, custodial admissions by Indigenous identity",27341
2001/2002,Quebec,Remand,Indigenous identity,1063
2001/2002,Quebec,Remand,Non-Indigenous identity,25691
2001/2002,Quebec,Remand,Indigenous identity unknown,587
2001/2002,Quebec,Other custodial statuses,"Total, custodial admissions by Indigenous identity",2984
2001/2002,Quebec,Other custodial statuses,Indigenous identity,51
2001/2002,Quebec,Other custodial statuses,Non-Indigenous identity,2903
2001/2002,Quebec,Other custodial statuses,Indigenous identity unknown,30
2001/2002,Ontario,"Total, custodial admissions","Total, custodial admissions by Indigenous identity",91305
2001/2002,Ontario,"Total, custodial admissions",Indigenous identity,7294
2001/2002,Ontario,"Total, custodial admissions",Non-Indigenous identity,84011
2001/2002,Ontario,"Total, custodial admissions",Indigenous identity unknown,0
2001/2002,Ontario,Sentenced,"Total, custodial admissions by Indigenous identity",31980
2001/2002,Ontario,Sentenced,Indigenous identity,2777
2001/2002,Ontario,Sentenced,Non-Indigenous identity,29203
2001/2002,Ontario,Sentenced,Indigenous identity unknown,0
2001/2002,Ontario,Remand,"Total, custodial admissions by Indigenous identity",56370
2001/2002,Ontario,Remand,Indigenous identity,4389
2001/2002,Ontario,Remand,Non-Indigenous identity,51981
2001/2002,Ontario,Remand,Indigenous identity unknown,0
2001/2002,Ontario,Other custodial statuses,"Total, custodial admissions by Indigenous identity",2955
2001/2002,Ontario,Other custodial statuses,Indigenous identity,128
2001/2002,Ontario,Other custodial statuses,Non-Indigenous identity,2827
2001/2002,Ontario,Other custodial statuses,Indigenous identity unknown,0
2001/2002,Manitoba,"Total, custodial admissions","Total, custodial admissions by Indigenous identity",16204
2001/2002,Manitoba,"Total, custodial admissions",Indigenous identity,10217
2001/2002,Manitoba,"Total, custodial admissions",Non-Indigenous identity,5987
2001/2002,Manitoba,"Total, custodial admissions",Indigenous identity unknown,0
2001/2002,Manitoba,Sentenced,"Total, custodial admissions by Indigenous identity",3025
2001/2002,Manitoba,Sentenced,Indigenous identity,2090
2001/2002,Manitoba,Sentenced,Non-Indigenous identity,935
2001/2002,Manitoba,Sentenced,Indigenous identity unknown,0
2001/2002,Manitoba,Remand,"Total, custodial admissions by Indigenous identity",7625
2001/2002,Manitoba,Remand,Indigenous identity,4822
2001/2002,Manitoba,Remand,Non-Indigenous identity,2803
2001/2002,Manitoba,Remand,Indigenous identity unknown,0
2001/2002,Manitoba,Other custodial statuses,"Total, custodial admissions by Indigenous identity",5554
2001/2002,Manitoba,Other custodial statuses,Indigenous identity,3305
2001/2002,Manitoba,Other custodial statuses,Non-Indigenous identity,2249
2001/2002,Manitoba,Other custodial statuses,Indigenous identity unknown,0
2001/2002,Saskatchewan,"Total, custodial admissions","Total, custodial admissions by Indigenous identity",8498
2001/2002,Saskatchewan,"Total, custodial admissions",Indigenous identity,6396
2001/2002,Saskatchewan,"Total, custodial admissions",Non-Indigenous identity,1810
2001/2002,Saskatchewan,"Total, custodial admissions",Indigenous identity unknown,292
2001/2002,Saskatchewan,Sentenced,"Total, custodial admissions by Indigenous identity",3345
2001/2002,Saskatchewan,Sentenced,Indigenous identity,2480
2001/2002,Saskatchewan,Sentenced,Non-Indigenous identity,663
2001/2002,Saskatchewan,Sentenced,Indigenous identity unknown,202
2001/2002,Saskatchewan,Remand,"Total, custodial admissions by Indigenous identity",4982
2001/2002,Saskatchewan,Remand,Indigenous identity,3802
2001/2002,Saskatchewan,Remand,Non-Indigenous identity,1095
2001/2002,Saskatchewan,Remand,Indigenous identity unknown,85
2001/2002,Saskatchewan,Other custodial statuses,"Total, custodial admissions by Indigenous identity",171
2001/2002,Saskatchewan,Other custodial statuses,Indigenous identity,114
2001/2002,Saskatchewan,Other custodial statuses,Non-Indigenous identity,52
2001/2002,Saskatchewan,Other custodial statuses,Indigenous identity unknown,5
2001/2002,Alberta,"Total, custodial admissions","Total, custodial admissions by Indigenous identity",
2001/2002,Alberta,"Total, custodial admissions",Indigenous identity,
2001/2002,Alberta,"Total, custodial admissions",Non-Indigenous identity,
2001/2002,Alberta,"Total, custodial admissions",Indigenous identity unknown,
2001/2002,Alberta,Sentenced,"Total, custodial admissions by Indigenous identity",
2001/2002,Alberta,Sentenced,Indigenous identity,
2001/2002,Alberta,Sentenced,Non-Indigenous identity,
2001/2002,Alberta,Sentenced,Indigenous identity unknown,
2001/2002,Alberta,Remand,"Total, custodial admissions by Indigenous identity",
2001/2002,Alberta,Remand,Indigenous identity,
2001/2002,Alberta,Remand,Non-Indigenous identity,
2001/2002,Alberta,Remand,Indigenous identity unknown,
2001/2002,Alberta,Other custodial statuses,"Total, custodial admissions by Indigenous identity",
2001/2002,Alberta,Other custodial statuses,Indigenous identity,
2001/2002,Alberta,Other custodial statuses,Non-Indigenous identity,
2001/2002,Alberta,Other custodial statuses,Indigenous identity unknown,
2001/2002,British Columbia,"Total, custodial admissions","Total, custodial admissions by Indigenous identity",33312
2001/2002,British Columbia,"Total, custodial admissions",Indigenous identity,6489
2001/2002,British Columbia,"Total, custodial admissions",Non-Indigenous identity,26823
2001/2002,British Columbia,"Total, custodial admissions",Indigenous identity unknown,0
2001/2002,British Columbia,Sentenced,"Total, custodial admissions by Indigenous identity",9263
2001/2002,British Columbia,Sentenced,Indigenous identity,1900
2001/2002,British Columbia,Sentenced,Non-Indigenous identity,7363
2001/2002,British Columbia,Sentenced,Indigenous identity unknown,0
2001/2002,British Columbia,Remand,"Total, custodial admissions by Indigenous identity",10687
2001/2002,British Columbia,Remand,Indigenous identity,2139
2001/2002,British Columbia,Remand,Non-Indigenous identity,8548
2001/2002,British Columbia,Remand,Indigenous identity unknown,0
2001/2002,British Columbia,Other custodial statuses,"Total, custodial admissions by Indigenous identity",13362
2001/2002,British Columbia,Other custodial statuses,Indigenous identity,2450
2001/2002,British Columbia,Other custodial statuses,Non-Indigenous identity,10912
2001/2002,British Columbia,Other custodial statuses,Indigenous identity unknown,0
2001/2002,Yukon,"Total, custodial admissions","Total, custodial admissions by Indigenous identity",627
