"REF_DATE","GEO","DGUID","Correctional services","Visible minority group","Sex","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019/2020","Nova Scotia","2016A000212","Total custodial admissions","Total, visible minority group","Females","Number","223","units","0","v1331435272","1.2.1.3","671","","","","0"
"2019/2020","Nova Scotia","2016A000212","Total custodial admissions","Total, visible minority group","Sex unknown","Number","223","units","0","v1331435273","1.2.1.4","4","","","","0"
"2019/2020","Nova Scotia","2016A000212","Total custodial admissions","Black","Total, sex","Number","223","units","0","v1331435274","1.2.2.1","469","","","","0"
"2019/2020","Nova Scotia","2016A000212","Total custodial admissions","Black","Males","Number","223","units","0","v1331435275","1.2.2.2","410","","","","0"
"2019/2020","Nova Scotia","2016A000212","Total custodial admissions","Black","Females","Number","223","units","0","v1331435276","1.2.2.3","58","","","","0"
"2019/2020","Nova Scotia","2016A000212","Total custodial admissions","Black","Sex unknown","Number","223","units","0","v1331435277","1.2.2.4","1","","","","0"
"2019/2020","Nova Scotia","2016A000212","Total custodial admissions","South Asian","Total, sex","Number","223","units","0","v1331435278","1.2.3.1","","..","","","0"
"2019/2020","Nova Scotia","2016A000212","Total custodial admissions","South Asian","Males","Number","223","units","0","v1331435279","1.2.3.2","","..","","","0"
"2019/2020","Nova Scotia","2016A000212","Total custodial admissions","South Asian","Females","Number","223","units","0","v1331435280","1.2.3.3","","..","","","0"
"2019/2020","Nova Scotia","2016A000212","Total custodial admissions","South Asian","Sex unknown","Number","223","units","0","v1331435281","1.2.3.4","","..","","","0"
"2019/2020","Nova Scotia","2016A000212","Total custodial admissions","Arab","Total, sex","Number","223","units","0","v1331435302","1.2.9.1","","..","","","0"
"2019/2020","Nova Scotia","2016A000212","Total custodial admissions","Arab","Males","Number","223","units","0","v1331435303","1.2.9.2","","..","","","0"
"2019/2020","Nova Scotia","2016A000212","Total custodial admissions","Arab","Females","Number","223","units","0","v1331435304","1.2.9.3","","..","","","0"
"2019/2020","Nova Scotia","2016A000212","Total custodial admissions","Arab","Sex unknown","Number","223","units","0","v1331435305","1.2.9.4","","..","","","0"
"2019/2020","Nova Scotia","2016A000212","Total custodial admissions","East or Southeast Asian","Total, sex","Number","223","units","0","v1331435282","1.2.4.1","","..","","","0"
"2019/2020","Nova Scotia","2016A000212","Total custodial admissions","East or Southeast Asian","Males","Number","223","units","0","v1331435283","1.2.4.2","","..","","","0"
"2019/2020","Nova Scotia","2016A000212","Total custodial admissions","East or Southeast Asian","Females","Number","223","units","0","v1331435284","1.2.4.3","","..","","","0"
"2019/2020","Nova Scotia","2016A000212","Total custodial admissions","East or Southeast Asian","Sex unknown","Number","223","units","0","v1331435285","1.2.4.4","","..","","","0"
"2019/2020","Nova Scotia","2016A000212","Total custodial admissions","Latin American","Total, sex","Number","223","units","0","v1331435286","1.2.5.1","","..","","","0"
"2019/2020","Nova Scotia","2016A000212","Total custodial admissions","Latin American","Males","Number","223","units","0","v1331435287","1.2.5.2","","..","","","0"
"2019/2020","Nova Scotia","2016A000212","Total custodial admissions","Latin American","Females","Number","223","units","0","v1331435288","1.2.5.3","","..","","","0"
"2019/2020","Nova Scotia","2016A000212","Total custodial admissions","Latin American","Sex unknown","Number","223","units","0","v1331435289","1.2.5.4","","..","","","0"
"2019/2020","Nova Scotia","2016A000212","Total custodial admissions","Other visible minority group","Total, sex","Number","223","units","0","v1331435290","1.2.6.1","121","","","","0"
"2019/2020","Nova Scotia","2016A000212","Total custodial admissions","Other visible minority group","Males","Number","223","units","0","v1331435291","1.2.6.2","105","","","","0"
"2019/2020","Nova Scotia","2016A000212","Total custodial admissions","Other visible minority group","Females","Number","223","units","0","v1331435292","1.2.6.3","16","","","","0"
"2019/2020","Nova Scotia","2016A000212","Total custodial admissions","Other visible minority group","Sex unknown","Number","223","units","0","v1331435293","1.2.6.4","0","","","","0"
"2019/2020","Nova Scotia","2016A000212","Total custodial admissions","Not a visible minority ","Total, sex","Number","223","units","0","v1331435294","1.2.7.1","3494","","","","0"
"2019/2020","Nova Scotia","2016A000212","Total custodial admissions","Not a visible minority ","Males","Number","223","units","0","v1331435295","1.2.7.2","2956","","","","0"
"2019/2020","Nova Scotia","2016A000212","Total custodial admissions","Not a visible minority ","Females","Number","223","units","0","v1331435296","1.2.7.3","537","","","","0"
"2019/2020","Nova Scotia","2016A000212","Total custodial admissions","Not a visible minority ","Sex unknown","Number","223","units","0","v1331435297","1.2.7.4","1","","","","0"
"2019/2020","Nova Scotia","2016A000212","Total custodial admissions","Unknown, visible minority group","Total, sex","Number","223","units","0","v1331435298","1.2.8.1","247","","","","0"
"2019/2020","Nova Scotia","2016A000212","Total custodial admissions","Unknown, visible minority group","Males","Number","223","units","0","v1331435299","1.2.8.2","185","","","","0"
"2019/2020","Nova Scotia","2016A000212","Total custodial admissions","Unknown, visible minority group","Females","Number","223","units","0","v1331435300","1.2.8.3","60","","","","0"
"2019/2020","Nova Scotia","2016A000212","Total custodial admissions","Unknown, visible minority group","Sex unknown","Number","223","units","0","v1331435301","1.2.8.4","2","","","","0"
"2019/2020","Nova Scotia","2016A000212","Total community admissions","Total, visible minority group","Total, sex","Number","223","units","0","v1331435306","1.3.1.1","2613","","","","0"
"2019/2020","Nova Scotia","2016A000212","Total community admissions","Total, visible minority group","Males","Number","223","units","0","v1331435307","1.3.1.2","2043","","","","0"
"2019/2020","Nova Scotia","2016A000212","Total community admissions","Total, visible minority group","Females","Number","223","units","0","v1331435308","1.3.1.3","517","","","","0"
"2019/2020","Nova Scotia","2016A000212","Total community admissions","Total, visible minority group","Sex unknown","Number","223","units","0","v1331435309","1.3.1.4","53","","","","0"
"2019/2020","Nova Scotia","2016A000212","Total community admissions","Black","Total, sex","Number","223","units","0","v1331435310","1.3.2.1","181","","","","0"
"2019/2020","Nova Scotia","2016A000212","Total community admissions","Black","Males","Number","223","units","0","v1331435311","1.3.2.2","151","","","","0"
"2019/2020","Nova Scotia","2016A000212","Total community admissions","Black","Females","Number","223","units","0","v1331435312","1.3.2.3","27","","","","0"
"2019/2020","Nova Scotia","2016A000212","Total community admissions","Black","Sex unknown","Number","223","units","0","v1331435313","1.3.2.4","3","","","","0"
"2019/2020","Nova Scotia","2016A000212","Total community admissions","South Asian","Total, sex","Number","223","units","0","v1331435314","1.3.3.1","","..","","","0"
"2019/2020","Nova Scotia","2016A000212","Total community admissions","South Asian","Males","Number","223","units","0","v1331435315","1.3.3.2","","..","","","0"
"2019/2020","Nova Scotia","2016A000212","Total community admissions","South Asian","Females","Number","223","units","0","v1331435316","1.3.3.3","","..","","","0"
"2019/2020","Nova Scotia","2016A000212","Total community admissions","South Asian","Sex unknown","Number","223","units","0","v1331435317","1.3.3.4","","..","","","0"
"2019/2020","Nova Scotia","2016A000212","Total community admissions","Arab","Total, sex","Number","223","units","0","v1331435338","1.3.9.1","","..","","","0"
"2019/2020","Nova Scotia","2016A000212","Total community admissions","Arab","Males","Number","223","units","0","v1331435339","1.3.9.2","","..","","","0"
"2019/2020","Nova Scotia","2016A000212","Total community admissions","Arab","Females","Number","223","units","0","v1331435340","1.3.9.3","","..","","","0"
"2019/2020","Nova Scotia","2016A000212","Total community admissions","Arab","Sex unknown","Number","223","units","0","v1331435341","1.3.9.4","","..","","","0"
"2019/2020","Nova Scotia","2016A000212","Total community admissions","East or Southeast Asian","Total, sex","Number","223","units","0","v1331435318","1.3.4.1","","..","","","0"
"2019/2020","Nova Scotia","2016A000212","Total community admissions","East or Southeast Asian","Males","Number","223","units","0","v1331435319","1.3.4.2","","..","","","0"
"2019/2020","Nova Scotia","2016A000212","Total community admissions","East or Southeast Asian","Females","Number","223","units","0","v1331435320","1.3.4.3","","..","","","0"
"2019/2020","Nova Scotia","2016A000212","Total community admissions","East or Southeast Asian","Sex unknown","Number","223","units","0","v1331435321","1.3.4.4","","..","","","0"
"2019/2020","Nova Scotia","2016A000212","Total community admissions","Latin American","Total, sex","Number","223","units","0","v1331435322","1.3.5.1","","..","","","0"
"2019/2020","Nova Scotia","2016A000212","Total community admissions","Latin American","Males","Number","223","units","0","v1331435323","1.3.5.2","","..","","","0"
"2019/2020","Nova Scotia","2016A000212","Total community admissions","Latin American","Females","Number","223","units","0","v1331435324","1.3.5.3","","..","","","0"
"2019/2020","Nova Scotia","2016A000212","Total community admissions","Latin American","Sex unknown","Number","223","units","0","v1331435325","1.3.5.4","","..","","","0"
"2019/2020","Nova Scotia","2016A000212","Total community admissions","Other visible minority group","Total, sex","Number","223","units","0","v1331435326","1.3.6.1","44","","","","0"
"2019/2020","Nova Scotia","2016A000212","Total community admissions","Other visible minority group","Males","Number","223","units","0","v1331435327","1.3.6.2","34","","","","0"
"2019/2020","Nova Scotia","2016A000212","Total community admissions","Other visible minority group","Females","Number","223","units","0","v1331435328","1.3.6.3","10","","","","0"
"2019/2020","Nova Scotia","2016A000212","Total community admissions","Other visible minority group","Sex unknown","Number","223","units","0","v1331435329","1.3.6.4","0","","","","0"
"2019/2020","Nova Scotia","2016A000212","Total community admissions","Not a visible minority ","Total, sex","Number","223","units","0","v1331435330","1.3.7.1","1947","","","","0"
"2019/2020","Nova Scotia","2016A000212","Total community admissions","Not a visible minority ","Males","Number","223","units","0","v1331435331","1.3.7.2","1544","","","","0"
"2019/2020","Nova Scotia","2016A000212","Total community admissions","Not a visible minority ","Females","Number","223","units","0","v1331435332","1.3.7.3","384","","","","0"
"2019/2020","Nova Scotia","2016A000212","Total community admissions","Not a visible minority ","Sex unknown","Number","223","units","0","v1331435333","1.3.7.4","19","","","","0"
"2019/2020","Nova Scotia","2016A000212","Total community admissions","Unknown, visible minority group","Total, sex","Number","223","units","0","v1331435334","1.3.8.1","441","","","","0"
"2019/2020","Nova Scotia","2016A000212","Total community admissions","Unknown, visible minority group","Males","Number","223","units","0","v1331435335","1.3.8.2","314","","","","0"
"2019/2020","Nova Scotia","2016A000212","Total community admissions","Unknown, visible minority group","Females","Number","223","units","0","v1331435336","1.3.8.3","96","","","","0"
"2019/2020","Nova Scotia","2016A000212","Total community admissions","Unknown, visible minority group","Sex unknown","Number","223","units","0","v1331435337","1.3.8.4","31","","","","0"
"2019/2020","Ontario","2016A000235","Total correctional services admissions","Total, visible minority group","Total, sex","Number","223","units","0","v1331435342","2.1.1.1","109353","","","","0"
"2019/2020","Ontario","2016A000235","Total correctional services admissions","Total, visible minority group","Males","Number","223","units","0","v1331435343","2.1.1.2","92873","","","","0"
"2019/2020","Ontario","2016A000235","Total correctional services admissions","Total, visible minority group","Females","Number","223","units","0","v1331435344","2.1.1.3","16480","","","","0"
"2019/2020","Ontario","2016A000235","Total correctional services admissions","Total, visible minority group","Sex unknown","Number","223","units","0","v1331435345","2.1.1.4","0","","","","0"
"2019/2020","Ontario","2016A000235","Total correctional services admissions","Black","Total, sex","Number","223","units","0","v1331435346","2.1.2.1","13429","","","","0"
"2019/2020","Ontario","2016A000235","Total correctional services admissions","Black","Males","Number","223","units","0","v1331435347","2.1.2.2","12332","","","","0"
"2019/2020","Ontario","2016A000235","Total correctional services admissions","Black","Females","Number","223","units","0","v1331435348","2.1.2.3","1097","","","","0"
"2019/2020","Ontario","2016A000235","Total correctional services admissions","Black","Sex unknown","Number","223","units","0","v1331435349","2.1.2.4","0","","","","0"
"2019/2020","Ontario","2016A000235","Total correctional services admissions","South Asian","Total, sex","Number","223","units","0","v1331435350","2.1.3.1","2457","","","","0"
"2019/2020","Ontario","2016A000235","Total correctional services admissions","South Asian","Males","Number","223","units","0","v1331435351","2.1.3.2","2315","","","","0"
"2019/2020","Ontario","2016A000235","Total correctional services admissions","South Asian","Females","Number","223","units","0","v1331435352","2.1.3.3","142","","","","0"
"2019/2020","Ontario","2016A000235","Total correctional services admissions","South Asian","Sex unknown","Number","223","units","0","v1331435353","2.1.3.4","0","","","","0"
"2019/2020","Ontario","2016A000235","Total correctional services admissions","Arab","Total, sex","Number","223","units","0","v1331435374","2.1.9.1","2139","","","","0"
"2019/2020","Ontario","2016A000235","Total correctional services admissions","Arab","Males","Number","223","units","0","v1331435375","2.1.9.2","2038","","","","0"
"2019/2020","Ontario","2016A000235","Total correctional services admissions","Arab","Females","Number","223","units","0","v1331435376","2.1.9.3","101","","","","0"
"2019/2020","Ontario","2016A000235","Total correctional services admissions","Arab","Sex unknown","Number","223","units","0","v1331435377","2.1.9.4","0","","","","0"
"2019/2020","Ontario","2016A000235","Total correctional services admissions","East or Southeast Asian","Total, sex","Number","223","units","0","v1331435354","2.1.4.1","1913","","","","0"
"2019/2020","Ontario","2016A000235","Total correctional services admissions","East or Southeast Asian","Males","Number","223","units","0","v1331435355","2.1.4.2","1817","","","","0"
"2019/2020","Ontario","2016A000235","Total correctional services admissions","East or Southeast Asian","Females","Number","223","units","0","v1331435356","2.1.4.3","96","","","","0"
"2019/2020","Ontario","2016A000235","Total correctional services admissions","East or Southeast Asian","Sex unknown","Number","223","units","0","v1331435357","2.1.4.4","0","","","","0"
"2019/2020","Ontario","2016A000235","Total correctional services admissions","Latin American","Total, sex","Number","223","units","0","v1331435358","2.1.5.1","730","","","","0"
"2019/2020","Ontario","2016A000235","Total correctional services admissions","Latin American","Males","Number","223","units","0","v1331435359","2.1.5.2","670","","","","0"
"2019/2020","Ontario","2016A000235","Total correctional services admissions","Latin American","Females","Number","223","units","0","v1331435360","2.1.5.3","60","","","","0"
"2019/2020","Ontario","2016A000235","Total correctional services admissions","Latin American","Sex unknown","Number","223","units","0","v1331435361","2.1.5.4","0","","","","0"
"2019/2020","Ontario","2016A000235","Total correctional services admissions","Other visible minority group","Total, sex","Number","223","units","0","v1331435362","2.1.6.1","0","","","","0"
"2019/2020","Ontario","2016A000235","Total correctional services admissions","Other visible minority group","Males","Number","223","units","0","v1331435363","2.1.6.2","0","","","","0"
"2019/2020","Ontario","2016A000235","Total correctional services admissions","Other visible minority group","Females","Number","223","units","0","v1331435364","2.1.6.3","0","","","","0"
"2019/2020","Ontario","2016A000235","Total correctional services admissions","Other visible minority group","Sex unknown","Number","223","units","0","v1331435365","2.1.6.4","0","","","","0"
"2019/2020","Ontario","2016A000235","Total correctional services admissions","Not a visible minority ","Total, sex","Number","223","units","0","v1331435366","2.1.7.1","72635","","","","0"
"2019/2020","Ontario","2016A000235","Total correctional services admissions","Not a visible minority ","Males","Number","223","units","0","v1331435367","2.1.7.2","60320","","","","0"
"2019/2020","Ontario","2016A000235","Total correctional services admissions","Not a visible minority ","Females","Number","223","units","0","v1331435368","2.1.7.3","12315","","","","0"
"2019/2020","Ontario","2016A000235","Total correctional services admissions","Not a visible minority ","Sex unknown","Number","223","units","0","v1331435369","2.1.7.4","0","","","","0"
"2019/2020","Ontario","2016A000235","Total correctional services admissions","Unknown, visible minority group","Total, sex","Number","223","units","0","v1331435370","2.1.8.1","16050","","","","0"
"2019/2020","Ontario","2016A000235","Total correctional services admissions","Unknown, visible minority group","Males","Number","223","units","0","v1331435371","2.1.8.2","13381","","","","0"
"2019/2020","Ontario","2016A000235","Total correctional services admissions","Unknown, visible minority group","Females","Number","223","units","0","v1331435372","2.1.8.3","2669","","","","0"
"2019/2020","Ontario","2016A000235","Total correctional services admissions","Unknown, visible minority group","Sex unknown","Number","223","units","0","v1331435373","2.1.8.4","0","","","","0"
"2019/2020","Ontario","2016A000235","Total custodial admissions","Total, visible minority group","Total, sex","Number","223","units","0","v1331435378","2.2.1.1","79944","","","","0"
"2019/2020","Ontario","2016A000235","Total custodial admissions","Total, visible minority group","Males","Number","223","units","0","v1331435379","2.2.1.2","68896","","","","0"
"2019/2020","Ontario","2016A000235","Total custodial admissions","Total, visible minority group","Females","Number","223","units","0","v1331435380","2.2.1.3","11048","","","","0"
"2019/2020","Ontario","2016A000235","Total custodial admissions","Total, visible minority group","Sex unknown","Number","223","units","0","v1331435381","2.2.1.4","0","","","","0"
"2019/2020","Ontario","2016A000235","Total custodial admissions","Black","Total, sex","Number","223","units","0","v1331435382","2.2.2.1","11027","","","","0"
"2019/2020","Ontario","2016A000235","Total custodial admissions","Black","Males","Number","223","units","0","v1331435383","2.2.2.2","10209","","","","0"
"2019/2020","Ontario","2016A000235","Total custodial admissions","Black","Females","Number","223","units","0","v1331435384","2.2.2.3","818","","","","0"
"2019/2020","Ontario","2016A000235","Total custodial admissions","Black","Sex unknown","Number","223","units","0","v1331435385","2.2.2.4","0","","","","0"
"2019/2020","Ontario","2016A000235","Total custodial admissions","South Asian","Total, sex","Number","223","units","0","v1331435386","2.2.3.1","1546","","","","0"
"2019/2020","Ontario","2016A000235","Total custodial admissions","South Asian","Males","Number","223","units","0","v1331435387","2.2.3.2","1470","","","","0"
"2019/2020","Ontario","2016A000235","Total custodial admissions","South Asian","Females","Number","223","units","0","v1331435388","2.2.3.3","76","","","","0"
"2019/2020","Ontario","2016A000235","Total custodial admissions","South Asian","Sex unknown","Number","223","units","0","v1331435389","2.2.3.4","0","","","","0"
"2019/2020","Ontario","2016A000235","Total custodial admissions","Arab","Total, sex","Number","223","units","0","v1331435410","2.2.9.1","1621","","","","0"
"2019/2020","Ontario","2016A000235","Total custodial admissions","Arab","Males","Number","223","units","0","v1331435411","2.2.9.2","1557","","","","0"
"2019/2020","Ontario","2016A000235","Total custodial admissions","Arab","Females","Number","223","units","0","v1331435412","2.2.9.3","64","","","","0"
"2019/2020","Ontario","2016A000235","Total custodial admissions","Arab","Sex unknown","Number","223","units","0","v1331435413","2.2.9.4","0","","","","0"
"2019/2020","Ontario","2016A000235","Total custodial admissions","East or Southeast Asian","Total, sex","Number","223","units","0","v1331435390","2.2.4.1","1434","","","","0"
"2019/2020","Ontario","2016A000235","Total custodial admissions","East or Southeast Asian","Males","Number","223","units","0","v1331435391","2.2.4.2","1377","","","","0"
"2019/2020","Ontario","2016A000235","Total custodial admissions","East or Southeast Asian","Females","Number","223","units","0","v1331435392","2.2.4.3","57","","","","0"
"2019/2020","Ontario","2016A000235","Total custodial admissions","East or Southeast Asian","Sex unknown","Number","223","units","0","v1331435393","2.2.4.4","0","","","","0"
"2019/2020","Ontario","2016A000235","Total custodial admissions","Latin American","Total, sex","Number","223","units","0","v1331435394","2.2.5.1","571","","","","0"
"2019/2020","Ontario","2016A000235","Total custodial admissions","Latin American","Males","Number","223","units","0","v1331435395","2.2.5.2","530","","","","0"
"2019/2020","Ontario","2016A000235","Total custodial admissions","Latin American","Females","Number","223","units","0","v1331435396","2.2.5.3","41","","","","0"
"2019/2020","Ontario","2016A000235","Total custodial admissions","Latin American","Sex unknown","Number","223","units","0","v1331435397","2.2.5.4","0","","","","0"
"2019/2020","Ontario","2016A000235","Total custodial admissions","Other visible minority group","Total, sex","Number","223","units","0","v1331435398","2.2.6.1","0","","","","0"
"2019/2020","Ontario","2016A000235","Total custodial admissions","Other visible minority group","Males","Number","223","units","0","v1331435399","2.2.6.2","0","","","","0"
"2019/2020","Ontario","2016A000235","Total custodial admissions","Other visible minority group","Females","Number","223","units","0","v1331435400","2.2.6.3","0","","","","0"
"2019/2020","Ontario","2016A000235","Total custodial admissions","Other visible minority group","Sex unknown","Number","223","units","0","v1331435401","2.2.6.4","0","","","","0"
"2019/2020","Ontario","2016A000235","Total custodial admissions","Not a visible minority ","Total, sex","Number","223","units","0","v1331435402","2.2.7.1","52990","","","","0"
"2019/2020","Ontario","2016A000235","Total custodial admissions","Not a visible minority ","Males","Number","223","units","0","v1331435403","2.2.7.2","44605","","","","0"
"2019/2020","Ontario","2016A000235","Total custodial admissions","Not a visible minority ","Females","Number","223","units","0","v1331435404","2.2.7.3","8385","","","","0"
"2019/2020","Ontario","2016A000235","Total custodial admissions","Not a visible minority ","Sex unknown","Number","223","units","0","v1331435405","2.2.7.4","0","","","","0"
"2019/2020","Ontario","2016A000235","Total custodial admissions","Unknown, visible minority group","Total, sex","Number","223","units","0","v1331435406","2.2.8.1","10755","","","","0"
"2019/2020","Ontario","2016A000235","Total custodial admissions","Unknown, visible minority group","Males","Number","223","units","0","v1331435407","2.2.8.2","9148","","","","0"
"2019/2020","Ontario","2016A000235","Total custodial admissions","Unknown, visible minority group","Females","Number","223","units","0","v1331435408","2.2.8.3","1607","","","","0"
"2019/2020","Ontario","2016A000235","Total custodial admissions","Unknown, visible minority group","Sex unknown","Number","223","units","0","v1331435409","2.2.8.4","0","","","","0"
"2019/2020","Ontario","2016A000235","Total community admissions","Total, visible minority group","Total, sex","Number","223","units","0","v1331435414","2.3.1.1","29409","","","","0"
"2019/2020","Ontario","2016A000235","Total community admissions","Total, visible minority group","Males","Number","223","units","0","v1331435415","2.3.1.2","23977","","","","0"
"2019/2020","Ontario","2016A000235","Total community admissions","Total, visible minority group","Females","Number","223","units","0","v1331435416","2.3.1.3","5432","","","","0"
"2019/2020","Ontario","2016A000235","Total community admissions","Total, visible minority group","Sex unknown","Number","223","units","0","v1331435417","2.3.1.4","0","","","","0"
"2019/2020","Ontario","2016A000235","Total community admissions","Black","Total, sex","Number","223","units","0","v1331435418","2.3.2.1","2402","","","","0"
"2019/2020","Ontario","2016A000235","Total community admissions","Black","Males","Number","223","units","0","v1331435419","2.3.2.2","2123","","","","0"
"2019/2020","Ontario","2016A000235","Total community admissions","Black","Females","Number","223","units","0","v1331435420","2.3.2.3","279","","","","0"
"2019/2020","Ontario","2016A000235","Total community admissions","Black","Sex unknown","Number","223","units","0","v1331435421","2.3.2.4","0","","","","0"
"2019/2020","Ontario","2016A000235","Total community admissions","South Asian","Total, sex","Number","223","units","0","v1331435422","2.3.3.1","911","","","","0"
"2019/2020","Ontario","2016A000235","Total community admissions","South Asian","Males","Number","223","units","0","v1331435423","2.3.3.2","845","","","","0"
"2019/2020","Ontario","2016A000235","Total community admissions","South Asian","Females","Number","223","units","0","v1331435424","2.3.3.3","66","","","","0"
"2019/2020","Ontario","2016A000235","Total community admissions","South Asian","Sex unknown","Number","223","units","0","v1331435425","2.3.3.4","0","","","","0"
