REF_DATE,GEO,Sex,Sentence length ordered,VALUE
2000/2001,British Columbia,"Total, custodial admission by sex",Greater than 6 months to 12 months,796
2000/2001,British Columbia,"Total, custodial admission by sex",Greater than 12 to less than 24 months,468
2000/2001,British Columbia,"Total, custodial admission by sex",24 months or more,289
2000/2001,British Columbia,"Total, custodial admission by sex",Unknown sentence length ordered,999
2000/2001,British Columbia,"Total, custodial admission by sex",Median sentence length ordered,60
2000/2001,British Columbia,Male,"Total, sentence length ordered",8823
2000/2001,British Columbia,Male,1 month or less,3249
2000/2001,British Columbia,Male,Greater than 1 month to 3 months,1927
2000/2001,British Columbia,Male,Greater than 3 months to 6 months,1243
2000/2001,British Columbia,Male,Greater than 6 months to 12 months,764
2000/2001,British Columbia,Male,Greater than 12 to less than 24 months,448
2000/2001,British Columbia,Male,24 months or more,275
2000/2001,British Columbia,Male,Unknown sentence length ordered,917
2000/2001,British Columbia,Male,Median sentence length ordered,60
2000/2001,British Columbia,Female,"Total, sentence length ordered",697
2000/2001,British Columbia,Female,1 month or less,339
2000/2001,British Columbia,Female,Greater than 1 month to 3 months,147
2000/2001,British Columbia,Female,Greater than 3 months to 6 months,63
2000/2001,British Columbia,Female,Greater than 6 months to 12 months,32
2000/2001,British Columbia,Female,Greater than 12 to less than 24 months,20
2000/2001,British Columbia,Female,24 months or more,14
2000/2001,British Columbia,Female,Unknown sentence length ordered,82
2000/2001,British Columbia,Female,Median sentence length ordered,30
2000/2001,British Columbia,Sex unknown,"Total, sentence length ordered",0
2000/2001,British Columbia,Sex unknown,1 month or less,0
2000/2001,British Columbia,Sex unknown,Greater than 1 month to 3 months,0
2000/2001,British Columbia,Sex unknown,Greater than 3 months to 6 months,0
2000/2001,British Columbia,Sex unknown,Greater than 6 months to 12 months,0
2000/2001,British Columbia,Sex unknown,Greater than 12 to less than 24 months,0
2000/2001,British Columbia,Sex unknown,24 months or more,0
2000/2001,British Columbia,Sex unknown,Unknown sentence length ordered,0
2000/2001,British Columbia,Sex unknown,Median sentence length ordered,
2000/2001,Yukon,"Total, custodial admission by sex","Total, sentence length ordered",294
2000/2001,Yukon,"Total, custodial admission by sex",1 month or less,156
2000/2001,Yukon,"Total, custodial admission by sex",Greater than 1 month to 3 months,79
2000/2001,Yukon,"Total, custodial admission by sex",Greater than 3 months to 6 months,29
2000/2001,Yukon,"Total, custodial admission by sex",Greater than 6 months to 12 months,14
2000/2001,Yukon,"Total, custodial admission by sex",Greater than 12 to less than 24 months,5
2000/2001,Yukon,"Total, custodial admission by sex",24 months or more,11
2000/2001,Yukon,"Total, custodial admission by sex",Unknown sentence length ordered,0
2000/2001,Yukon,"Total, custodial admission by sex",Median sentence length ordered,30
2000/2001,Yukon,Male,"Total, sentence length ordered",268
2000/2001,Yukon,Male,1 month or less,138
2000/2001,Yukon,Male,Greater than 1 month to 3 months,73
2000/2001,Yukon,Male,Greater than 3 months to 6 months,27
2000/2001,Yukon,Male,Greater than 6 months to 12 months,14
2000/2001,Yukon,Male,Greater than 12 to less than 24 months,5
2000/2001,Yukon,Male,24 months or more,11
2000/2001,Yukon,Male,Unknown sentence length ordered,0
2000/2001,Yukon,Male,Median sentence length ordered,30
2000/2001,Yukon,Female,"Total, sentence length ordered",26
2000/2001,Yukon,Female,1 month or less,18
2000/2001,Yukon,Female,Greater than 1 month to 3 months,6
2000/2001,Yukon,Female,Greater than 3 months to 6 months,2
2000/2001,Yukon,Female,Greater than 6 months to 12 months,0
2000/2001,Yukon,Female,Greater than 12 to less than 24 months,0
2000/2001,Yukon,Female,24 months or more,0
2000/2001,Yukon,Female,Unknown sentence length ordered,0
2000/2001,Yukon,Female,Median sentence length ordered,21
2000/2001,Yukon,Sex unknown,"Total, sentence length ordered",0
2000/2001,Yukon,Sex unknown,1 month or less,0
2000/2001,Yukon,Sex unknown,Greater than 1 month to 3 months,0
2000/2001,Yukon,Sex unknown,Greater than 3 months to 6 months,0
2000/2001,Yukon,Sex unknown,Greater than 6 months to 12 months,0
2000/2001,Yukon,Sex unknown,Greater than 12 to less than 24 months,0
2000/2001,Yukon,Sex unknown,24 months or more,0
2000/2001,Yukon,Sex unknown,Unknown sentence length ordered,0
2000/2001,Northwest Territories,"Total, custodial admission by sex","Total, sentence length ordered",802
2000/2001,Northwest Territories,"Total, custodial admission by sex",1 month or less,
2000/2001,Northwest Territories,"Total, custodial admission by sex",Greater than 1 month to 3 months,
2000/2001,Northwest Territories,"Total, custodial admission by sex",Greater than 3 months to 6 months,
2000/2001,Northwest Territories,"Total, custodial admission by sex",Greater than 6 months to 12 months,
2000/2001,Northwest Territories,"Total, custodial admission by sex",Greater than 12 to less than 24 months,
2000/2001,Northwest Territories,"Total, custodial admission by sex",24 months or more,
2000/2001,Northwest Territories,"Total, custodial admission by sex",Unknown sentence length ordered,802
2000/2001,Northwest Territories,"Total, custodial admission by sex",Median sentence length ordered,
2000/2001,Northwest Territories,Male,"Total, sentence length ordered",775
2000/2001,Northwest Territories,Male,1 month or less,
2000/2001,Northwest Territories,Male,Greater than 1 month to 3 months,
2000/2001,Northwest Territories,Male,Greater than 3 months to 6 months,
2000/2001,Northwest Territories,Male,Greater than 6 months to 12 months,
2000/2001,Northwest Territories,Male,Greater than 12 to less than 24 months,
2000/2001,Northwest Territories,Male,24 months or more,
2000/2001,Northwest Territories,Male,Unknown sentence length ordered,775
2000/2001,Northwest Territories,Male,Median sentence length ordered,
2000/2001,Northwest Territories,Female,"Total, sentence length ordered",27
2000/2001,Northwest Territories,Female,1 month or less,
2000/2001,Northwest Territories,Female,Greater than 1 month to 3 months,
2000/2001,Northwest Territories,Female,Greater than 3 months to 6 months,
2000/2001,Northwest Territories,Female,Greater than 6 months to 12 months,
2000/2001,Northwest Territories,Female,Greater than 12 to less than 24 months,
2000/2001,Northwest Territories,Female,24 months or more,
2000/2001,Northwest Territories,Female,Unknown sentence length ordered,27
2000/2001,Northwest Territories,Female,Median sentence length ordered,
2000/2001,Northwest Territories,Sex unknown,"Total, sentence length ordered",0
2000/2001,Northwest Territories,Sex unknown,1 month or less,0
2000/2001,Northwest Territories,Sex unknown,Greater than 1 month to 3 months,0
