REF_DATE,GEO,Custodial and community supervision,VALUE
1997/1998,Saskatchewan,"Total sentenced custody, actual-in count",313.1
1997/1998,Saskatchewan,"Sentenced secure custody, actual-in count",172.7
1997/1998,Saskatchewan,"Sentenced open custody, actual-in count",140.3
1997/1998,Saskatchewan,"Pre-trial detention and other temporary detention, actual-in count",69.5
1997/1998,Saskatchewan,"Incarceration rates per 10,000 young persons",39.6
1997/1998,Saskatchewan,Total community supervision count,1878.9
1997/1998,Saskatchewan,"Probation, community supervision",1878.9
1997/1998,Saskatchewan,"Community portion of custody sentence, community supervision",
1997/1998,Saskatchewan,"Deferred custody, community supervision",
1997/1998,Saskatchewan,"Probation rate per 10,000 young persons",194.48
1997/1998,Alberta,Total actual-in count,480.3
1997/1998,Alberta,"Total sentenced custody, actual-in count",343.4
1997/1998,Alberta,"Sentenced secure custody, actual-in count",166.5
1997/1998,Alberta,"Sentenced open custody, actual-in count",176.9
1997/1998,Alberta,"Pre-trial detention and other temporary detention, actual-in count",136.9
1997/1998,Alberta,"Incarceration rates per 10,000 young persons",18.94
1997/1998,Alberta,Total community supervision count,3226
1997/1998,Alberta,"Probation, community supervision",3226
1997/1998,Alberta,"Community portion of custody sentence, community supervision",
1997/1998,Alberta,"Deferred custody, community supervision",
1997/1998,Alberta,"Intensive support and supervision, community supervision",
1997/1998,Alberta,"Probation rate per 10,000 young persons",127.22
1997/1998,British Columbia,Total actual-in count,385.8
1997/1998,British Columbia,"Total sentenced custody, actual-in count",276.7
1997/1998,British Columbia,"Sentenced secure custody, actual-in count",111.1
1997/1998,British Columbia,"Sentenced open custody, actual-in count",165.6
1997/1998,British Columbia,"Pre-trial detention and other temporary detention, actual-in count",109.1
1997/1998,British Columbia,"Incarceration rates per 10,000 young persons",12.22
1997/1998,British Columbia,Total community supervision count,4258.5
1997/1998,British Columbia,"Probation, community supervision",4258.5
1997/1998,British Columbia,"Community portion of custody sentence, community supervision",
1997/1998,British Columbia,"Deferred custody, community supervision",
1997/1998,British Columbia,"Intensive support and supervision, community supervision",
1997/1998,British Columbia,"Probation rate per 10,000 young persons",134.88
1997/1998,Yukon,Total actual-in count,18.7
1997/1998,Yukon,"Total sentenced custody, actual-in count",12.9
1997/1998,Yukon,"Sentenced secure custody, actual-in count",7.6
1997/1998,Yukon,"Sentenced open custody, actual-in count",5.3
1997/1998,Yukon,"Pre-trial detention and other temporary detention, actual-in count",5.8
1997/1998,Yukon,"Incarceration rates per 10,000 young persons",62.64
1997/1998,Yukon,Total community supervision count,133
1997/1998,Yukon,"Probation, community supervision",133
1997/1998,Yukon,"Community portion of custody sentence, community supervision",
1997/1998,Yukon,"Deferred custody, community supervision",
1997/1998,Yukon,"Intensive support and supervision, community supervision",
1997/1998,Yukon,"Probation rate per 10,000 young persons",445.11
1997/1998,Northwest Territories including Nunavut,Total actual-in count,69.5
1997/1998,Northwest Territories including Nunavut,"Total sentenced custody, actual-in count",65.1
1997/1998,Northwest Territories including Nunavut,"Sentenced secure custody, actual-in count",25.6
1997/1998,Northwest Territories including Nunavut,"Sentenced open custody, actual-in count",39.5
1997/1998,Northwest Territories including Nunavut,"Pre-trial detention and other temporary detention, actual-in count",4.4
1997/1998,Northwest Territories including Nunavut,"Incarceration rates per 10,000 young persons",98.4
1997/1998,Northwest Territories,Total actual-in count,
1997/1998,Northwest Territories,"Total sentenced custody, actual-in count",
1997/1998,Northwest Territories,"Sentenced secure custody, actual-in count",
1997/1998,Northwest Territories,"Sentenced open custody, actual-in count",
1997/1998,Northwest Territories,"Pre-trial detention and other temporary detention, actual-in count",
1997/1998,Northwest Territories,"Incarceration rates per 10,000 young persons",
1997/1998,Northwest Territories,Total community supervision count,
1997/1998,Northwest Territories,"Probation, community supervision",
1997/1998,Northwest Territories,"Community portion of custody sentence, community supervision",
1997/1998,Northwest Territories,"Deferred custody, community supervision",
1997/1998,Northwest Territories,"Intensive support and supervision, community supervision",
1997/1998,Northwest Territories,"Probation rate per 10,000 young persons",
1997/1998,Nunavut,Total actual-in count,
1997/1998,Nunavut,"Total sentenced custody, actual-in count",
1997/1998,Nunavut,"Sentenced secure custody, actual-in count",
1997/1998,Nunavut,"Sentenced open custody, actual-in count",
1997/1998,Nunavut,"Pre-trial detention and other temporary detention, actual-in count",
1997/1998,Nunavut,"Incarceration rates per 10,000 young persons",
1997/1998,Nunavut,Total community supervision count,
1997/1998,Nunavut,"Probation, community supervision",
1997/1998,Nunavut,"Community portion of custody sentence, community supervision",
1997/1998,Nunavut,"Probation rate per 10,000 young persons",
1998/1999,Provinces and Territories,Total actual-in count,4838.7
1998/1999,Provinces and Territories,"Total sentenced custody, actual-in count",3731
1998/1999,Provinces and Territories,"Sentenced secure custody, actual-in count",1753.7
1998/1999,Provinces and Territories,"Sentenced open custody, actual-in count",1977.3
1998/1999,Provinces and Territories,"Pre-trial detention and other temporary detention, actual-in count",1107.7
1998/1999,Provinces and Territories,"Incarceration rates per 10,000 young persons",19.66
1998/1999,Provinces and Territories,Total community supervision count,38318.7
1998/1999,Provinces and Territories,"Probation, community supervision",38318.7
1998/1999,Provinces and Territories,"Community portion of custody sentence, community supervision",
1998/1999,Provinces and Territories,"Deferred custody, community supervision",
1998/1999,Provinces and Territories,"Intensive support and supervision, community supervision",
1998/1999,Provinces and Territories,"Probation rate per 10,000 young persons",156.12
1998/1999,Newfoundland and Labrador,Total actual-in count,113.8
1998/1999,Newfoundland and Labrador,"Total sentenced custody, actual-in count",100.5
1998/1999,Newfoundland and Labrador,"Sentenced secure custody, actual-in count",49.5
1998/1999,Newfoundland and Labrador,"Sentenced open custody, actual-in count",50.9
1998/1999,Newfoundland and Labrador,"Pre-trial detention and other temporary detention, actual-in count",13.4
1998/1999,Newfoundland and Labrador,"Incarceration rates per 10,000 young persons",22.82
1998/1999,Newfoundland and Labrador,Total community supervision count,1084.9
1998/1999,Newfoundland and Labrador,"Probation, community supervision",1084.9
1998/1999,Newfoundland and Labrador,"Community portion of custody sentence, community supervision",
1998/1999,Newfoundland and Labrador,"Deferred custody, community supervision",
1998/1999,Newfoundland and Labrador,"Intensive support and supervision, community supervision",
1998/1999,Newfoundland and Labrador,"Probation rate per 10,000 young persons",217.52
1998/1999,Prince Edward Island,Total actual-in count,23.2
1998/1999,Prince Edward Island,"Total sentenced custody, actual-in count",20.3
1998/1999,Prince Edward Island,"Sentenced secure custody, actual-in count",11.1
1998/1999,Prince Edward Island,"Sentenced open custody, actual-in count",9.2
1998/1999,Prince Edward Island,"Pre-trial detention and other temporary detention, actual-in count",2.8
1998/1999,Prince Edward Island,"Incarceration rates per 10,000 young persons",18.92
1998/1999,Prince Edward Island,Total community supervision count,272.3
1998/1999,Prince Edward Island,"Probation, community supervision",272.3
1998/1999,Prince Edward Island,"Community portion of custody sentence, community supervision",
1998/1999,Prince Edward Island,"Deferred custody, community supervision",
1998/1999,Prince Edward Island,"Intensive support and supervision, community supervision",
1998/1999,Prince Edward Island,"Probation rate per 10,000 young persons",222.5
1998/1999,Nova Scotia,Total actual-in count,146.9
1998/1999,Nova Scotia,"Total sentenced custody, actual-in count",122.3
1998/1999,Nova Scotia,"Sentenced secure custody, actual-in count",20.8
1998/1999,Nova Scotia,"Sentenced open custody, actual-in count",101.5
1998/1999,Nova Scotia,"Pre-trial detention and other temporary detention, actual-in count",24.6
1998/1999,Nova Scotia,"Incarceration rates per 10,000 young persons",19.52
1998/1999,Nova Scotia,Total community supervision count,1340.2
1998/1999,Nova Scotia,"Probation, community supervision",1340.2
1998/1999,Nova Scotia,"Community portion of custody sentence, community supervision",
1998/1999,Nova Scotia,"Deferred custody, community supervision",
1998/1999,Nova Scotia,"Intensive support and supervision, community supervision",
1998/1999,Nova Scotia,"Probation rate per 10,000 young persons",178.16
1998/1999,New Brunswick,Total actual-in count,143.6
1998/1999,New Brunswick,"Total sentenced custody, actual-in count",131.3
1998/1999,New Brunswick,"Sentenced secure custody, actual-in count",57.3
1998/1999,New Brunswick,"Sentenced open custody, actual-in count",73.9
1998/1999,New Brunswick,"Pre-trial detention and other temporary detention, actual-in count",12.3
1998/1999,New Brunswick,"Incarceration rates per 10,000 young persons",23.14
1998/1999,New Brunswick,Total community supervision count,1035.8
1998/1999,New Brunswick,"Probation, community supervision",1035.8
1998/1999,New Brunswick,"Community portion of custody sentence, community supervision",
1998/1999,New Brunswick,"Deferred custody, community supervision",
1998/1999,New Brunswick,"Intensive support and supervision, community supervision",
1998/1999,New Brunswick,"Probation rate per 10,000 young persons",166.96
1998/1999,Quebec,Total actual-in count,556.4
1998/1999,Quebec,"Total sentenced custody, actual-in count",453.4
1998/1999,Quebec,"Sentenced secure custody, actual-in count",238.8
1998/1999,Quebec,"Sentenced open custody, actual-in count",214.6
1998/1999,Quebec,"Pre-trial detention and other temporary detention, actual-in count",103
1998/1999,Quebec,"Incarceration rates per 10,000 young persons",9.88
1998/1999,Quebec,Total community supervision count,4915
1998/1999,Quebec,"Probation, community supervision",4915
1998/1999,Quebec,"Community portion of custody sentence, community supervision",
1998/1999,Quebec,"Deferred custody, community supervision",
1998/1999,Quebec,"Intensive support and supervision, community supervision",
1998/1999,Quebec,"Probation rate per 10,000 young persons",87.27
1998/1999,Ontario,Total actual-in count,2012.6
1998/1999,Ontario,"Total sentenced custody, actual-in count",1730.4
1998/1999,Ontario,"Sentenced secure custody, actual-in count",808.7
1998/1999,Ontario,"Sentenced open custody, actual-in count",921.7
1998/1999,Ontario,"Pre-trial detention and other temporary detention, actual-in count",282.2
1998/1999,Ontario,"Incarceration rates per 10,000 young persons",
1998/1999,Ontario,Total community supervision count,18215.1
1998/1999,Ontario,"Probation, community supervision",18215.1
1998/1999,Ontario,"Community portion of custody sentence, community supervision",
1998/1999,Ontario,"Deferred custody, community supervision",
1998/1999,Ontario,"Intensive support and supervision, community supervision",
1998/1999,Ontario,"Probation rate per 10,000 young persons",199.49
1998/1999,Manitoba,Total actual-in count,303.2
1998/1999,Manitoba,"Total sentenced custody, actual-in count",207.3
1998/1999,Manitoba,"Sentenced secure custody, actual-in count",83.9
1998/1999,Manitoba,"Sentenced open custody, actual-in count",123.4
1998/1999,Manitoba,"Pre-trial detention and other temporary detention, actual-in count",95.8
1998/1999,Manitoba,"Incarceration rates per 10,000 young persons",31.03
1998/1999,Manitoba,Total community supervision count,2020.9
1998/1999,Manitoba,"Probation, community supervision",2020.9
1998/1999,Manitoba,"Community portion of custody sentence, community supervision",
1998/1999,Manitoba,"Deferred custody, community supervision",
1998/1999,Manitoba,"Probation rate per 10,000 young persons",206.83
1998/1999,Saskatchewan,Total actual-in count,397.9
1998/1999,Saskatchewan,"Total sentenced custody, actual-in count",322.9
1998/1999,Saskatchewan,"Sentenced secure custody, actual-in count",187.4
1998/1999,Saskatchewan,"Sentenced open custody, actual-in count",135.5
1998/1999,Saskatchewan,"Pre-trial detention and other temporary detention, actual-in count",75
1998/1999,Saskatchewan,"Incarceration rates per 10,000 young persons",40.97
1998/1999,Saskatchewan,Total community supervision count,2025.8
1998/1999,Saskatchewan,"Probation, community supervision",2025.8
1998/1999,Saskatchewan,"Community portion of custody sentence, community supervision",
1998/1999,Saskatchewan,"Deferred custody, community supervision",
1998/1999,Saskatchewan,"Probation rate per 10,000 young persons",208.56
1998/1999,Alberta,Total actual-in count,464.9
1998/1999,Alberta,"Total sentenced custody, actual-in count",331.9
1998/1999,Alberta,"Sentenced secure custody, actual-in count",157.4
1998/1999,Alberta,"Sentenced open custody, actual-in count",174.5
1998/1999,Alberta,"Pre-trial detention and other temporary detention, actual-in count",133
1998/1999,Alberta,"Incarceration rates per 10,000 young persons",17.84
1998/1999,Alberta,Total community supervision count,3194.1
1998/1999,Alberta,"Probation, community supervision",3194.1
1998/1999,Alberta,"Community portion of custody sentence, community supervision",
1998/1999,Alberta,"Deferred custody, community supervision",
1998/1999,Alberta,"Intensive support and supervision, community supervision",
1998/1999,Alberta,"Probation rate per 10,000 young persons",122.58
1998/1999,British Columbia,Total actual-in count,358.5
1998/1999,British Columbia,"Total sentenced custody, actual-in count",260.7
1998/1999,British Columbia,"Sentenced secure custody, actual-in count",107.8
1998/1999,British Columbia,"Sentenced open custody, actual-in count",152.9
1998/1999,British Columbia,"Pre-trial detention and other temporary detention, actual-in count",97.8
1998/1999,British Columbia,"Incarceration rates per 10,000 young persons",11.19
1998/1999,British Columbia,Total community supervision count,4101.9
1998/1999,British Columbia,"Probation, community supervision",4101.9
1998/1999,British Columbia,"Community portion of custody sentence, community supervision",
1998/1999,British Columbia,"Deferred custody, community supervision",
1998/1999,British Columbia,"Intensive support and supervision, community supervision",
1998/1999,British Columbia,"Probation rate per 10,000 young persons",128.01
1998/1999,Yukon,Total actual-in count,14.7
1998/1999,Yukon,"Total sentenced custody, actual-in count",11.5
1998/1999,Yukon,"Sentenced secure custody, actual-in count",8
1998/1999,Yukon,"Sentenced open custody, actual-in count",3.5
1998/1999,Yukon,"Pre-trial detention and other temporary detention, actual-in count",3.2
1998/1999,Yukon,"Incarceration rates per 10,000 young persons",49.21
1998/1999,Yukon,Total community supervision count,112.8
1998/1999,Yukon,"Probation, community supervision",112.8
1998/1999,Yukon,"Community portion of custody sentence, community supervision",
1998/1999,Yukon,"Deferred custody, community supervision",
1998/1999,Yukon,"Intensive support and supervision, community supervision",
1998/1999,Yukon,"Probation rate per 10,000 young persons",378.74
1998/1999,Northwest Territories including Nunavut,Total actual-in count,44.3
1998/1999,Northwest Territories including Nunavut,"Total sentenced custody, actual-in count",38.5
1998/1999,Northwest Territories including Nunavut,"Sentenced secure custody, actual-in count",22.9
1998/1999,Northwest Territories including Nunavut,"Sentenced open custody, actual-in count",15.6
1998/1999,Northwest Territories including Nunavut,"Pre-trial detention and other temporary detention, actual-in count",5.8
1998/1999,Northwest Territories including Nunavut,"Incarceration rates per 10,000 young persons",62.64
1998/1999,Northwest Territories,Total actual-in count,
1998/1999,Northwest Territories,"Total sentenced custody, actual-in count",
1998/1999,Northwest Territories,"Sentenced secure custody, actual-in count",
1998/1999,Northwest Territories,"Sentenced open custody, actual-in count",
1998/1999,Northwest Territories,"Pre-trial detention and other temporary detention, actual-in count",
1998/1999,Northwest Territories,"Incarceration rates per 10,000 young persons",
1998/1999,Northwest Territories,Total community supervision count,
1998/1999,Northwest Territories,"Probation, community supervision",
1998/1999,Northwest Territories,"Community portion of custody sentence, community supervision",
1998/1999,Northwest Territories,"Deferred custody, community supervision",
1998/1999,Northwest Territories,"Intensive support and supervision, community supervision",
1998/1999,Northwest Territories,"Probation rate per 10,000 young persons",
1998/1999,Nunavut,Total actual-in count,
1998/1999,Nunavut,"Total sentenced custody, actual-in count",
1998/1999,Nunavut,"Sentenced secure custody, actual-in count",
1998/1999,Nunavut,"Sentenced open custody, actual-in count",
1998/1999,Nunavut,"Pre-trial detention and other temporary detention, actual-in count",
1998/1999,Nunavut,"Incarceration rates per 10,000 young persons",
1998/1999,Nunavut,Total community supervision count,
1998/1999,Nunavut,"Probation, community supervision",
1998/1999,Nunavut,"Community portion of custody sentence, community supervision",
1998/1999,Nunavut,"Probation rate per 10,000 young persons",
1999/2000,Provinces and Territories,Total actual-in count,4455.2
1999/2000,Provinces and Territories,"Total sentenced custody, actual-in count",3371.6
1999/2000,Provinces and Territories,"Sentenced secure custody, actual-in count",1576.7
1999/2000,Provinces and Territories,"Sentenced open custody, actual-in count",1794.9
1999/2000,Provinces and Territories,"Pre-trial detention and other temporary detention, actual-in count",1083.6
1999/2000,Provinces and Territories,"Incarceration rates per 10,000 young persons",18.08
1999/2000,Provinces and Territories,Total community supervision count,38581.5
1999/2000,Provinces and Territories,"Probation, community supervision",38581.5
1999/2000,Provinces and Territories,"Community portion of custody sentence, community supervision",
1999/2000,Provinces and Territories,"Deferred custody, community supervision",
1999/2000,Provinces and Territories,"Intensive support and supervision, community supervision",
1999/2000,Provinces and Territories,"Probation rate per 10,000 young persons",156.8
1999/2000,Newfoundland and Labrador,Total actual-in count,102.7
1999/2000,Newfoundland and Labrador,"Total sentenced custody, actual-in count",89.9
1999/2000,Newfoundland and Labrador,"Sentenced secure custody, actual-in count",41.7
1999/2000,Newfoundland and Labrador,"Sentenced open custody, actual-in count",48.2
1999/2000,Newfoundland and Labrador,"Pre-trial detention and other temporary detention, actual-in count",12.8
1999/2000,Newfoundland and Labrador,"Incarceration rates per 10,000 young persons",21.31
1999/2000,Newfoundland and Labrador,Total community supervision count,968.5
1999/2000,Newfoundland and Labrador,"Probation, community supervision",968.5
1999/2000,Newfoundland and Labrador,"Community portion of custody sentence, community supervision",
1999/2000,Newfoundland and Labrador,"Deferred custody, community supervision",
1999/2000,Newfoundland and Labrador,"Intensive support and supervision, community supervision",
1999/2000,Newfoundland and Labrador,"Probation rate per 10,000 young persons",201.04
1999/2000,Prince Edward Island,Total actual-in count,22.2
1999/2000,Prince Edward Island,"Total sentenced custody, actual-in count",19.1
1999/2000,Prince Edward Island,"Sentenced secure custody, actual-in count",10.5
1999/2000,Prince Edward Island,"Sentenced open custody, actual-in count",8.6
1999/2000,Prince Edward Island,"Pre-trial detention and other temporary detention, actual-in count",3.1
1999/2000,Prince Edward Island,"Incarceration rates per 10,000 young persons",18.05
1999/2000,Prince Edward Island,Total community supervision count,205.1
1999/2000,Prince Edward Island,"Probation, community supervision",205.1
1999/2000,Prince Edward Island,"Community portion of custody sentence, community supervision",
1999/2000,Prince Edward Island,"Deferred custody, community supervision",
1999/2000,Prince Edward Island,"Intensive support and supervision, community supervision",
1999/2000,Prince Edward Island,"Probation rate per 10,000 young persons",166.98
1999/2000,Nova Scotia,Total actual-in count,134.8
1999/2000,Nova Scotia,"Total sentenced custody, actual-in count",111.8
1999/2000,Nova Scotia,"Sentenced secure custody, actual-in count",18.5
1999/2000,Nova Scotia,"Sentenced open custody, actual-in count",93.3
1999/2000,Nova Scotia,"Pre-trial detention and other temporary detention, actual-in count",23
1999/2000,Nova Scotia,"Incarceration rates per 10,000 young persons",17.94
1999/2000,Nova Scotia,Total community supervision count,1261.3
1999/2000,Nova Scotia,"Probation, community supervision",1261.3
1999/2000,Nova Scotia,"Community portion of custody sentence, community supervision",
1999/2000,Nova Scotia,"Deferred custody, community supervision",
1999/2000,Nova Scotia,"Intensive support and supervision, community supervision",
1999/2000,Nova Scotia,"Probation rate per 10,000 young persons",167.86
1999/2000,New Brunswick,Total actual-in count,144.3
1999/2000,New Brunswick,"Total sentenced custody, actual-in count",130.4
1999/2000,New Brunswick,"Sentenced secure custody, actual-in count",54.7
1999/2000,New Brunswick,"Sentenced open custody, actual-in count",75.8
1999/2000,New Brunswick,"Pre-trial detention and other temporary detention, actual-in count",13.9
1999/2000,New Brunswick,"Incarceration rates per 10,000 young persons",23.54
1999/2000,New Brunswick,Total community supervision count,989.5
1999/2000,New Brunswick,"Probation, community supervision",989.5
1999/2000,New Brunswick,"Community portion of custody sentence, community supervision",
1999/2000,New Brunswick,"Deferred custody, community supervision",
1999/2000,New Brunswick,"Intensive support and supervision, community supervision",
1999/2000,New Brunswick,"Probation rate per 10,000 young persons",161.36
1999/2000,Quebec,Total actual-in count,477.9
1999/2000,Quebec,"Total sentenced custody, actual-in count",378.8
1999/2000,Quebec,"Sentenced secure custody, actual-in count",211.4
1999/2000,Quebec,"Sentenced open custody, actual-in count",167.4
1999/2000,Quebec,"Pre-trial detention and other temporary detention, actual-in count",99.1
1999/2000,Quebec,"Incarceration rates per 10,000 young persons",8.69
1999/2000,Quebec,Total community supervision count,4932
1999/2000,Quebec,"Probation, community supervision",4932
1999/2000,Quebec,"Community portion of custody sentence, community supervision",
1999/2000,Quebec,"Deferred custody, community supervision",
1999/2000,Quebec,"Intensive support and supervision, community supervision",
1999/2000,Quebec,"Probation rate per 10,000 young persons",89.64
1999/2000,Ontario,Total actual-in count,1830.2
1999/2000,Ontario,"Total sentenced custody, actual-in count",1537.3
1999/2000,Ontario,"Sentenced secure custody, actual-in count",724.4
1999/2000,Ontario,"Sentenced open custody, actual-in count",812.9
1999/2000,Ontario,"Pre-trial detention and other temporary detention, actual-in count",292.8
1999/2000,Ontario,"Incarceration rates per 10,000 young persons",
1999/2000,Ontario,Total community supervision count,19727.9
1999/2000,Ontario,"Probation, community supervision",19727.9
1999/2000,Ontario,"Community portion of custody sentence, community supervision",
1999/2000,Ontario,"Deferred custody, community supervision",
1999/2000,Ontario,"Intensive support and supervision, community supervision",
1999/2000,Ontario,"Probation rate per 10,000 young persons",212.65
1999/2000,Manitoba,Total actual-in count,296.8
1999/2000,Manitoba,"Total sentenced custody, actual-in count",197.5
1999/2000,Manitoba,"Sentenced secure custody, actual-in count",79.5
1999/2000,Manitoba,"Sentenced open custody, actual-in count",118
1999/2000,Manitoba,"Pre-trial detention and other temporary detention, actual-in count",99.3
1999/2000,Manitoba,"Incarceration rates per 10,000 young persons",30.09
1999/2000,Manitoba,Total community supervision count,1938.8
1999/2000,Manitoba,"Probation, community supervision",1938.8
1999/2000,Manitoba,"Community portion of custody sentence, community supervision",
1999/2000,Manitoba,"Deferred custody, community supervision",
1999/2000,Manitoba,"Probation rate per 10,000 young persons",196.58
1999/2000,Saskatchewan,Total actual-in count,351.5
1999/2000,Saskatchewan,"Total sentenced custody, actual-in count",282.8
1999/2000,Saskatchewan,"Sentenced secure custody, actual-in count",161.6
1999/2000,Saskatchewan,"Sentenced open custody, actual-in count",121.2
1999/2000,Saskatchewan,"Pre-trial detention and other temporary detention, actual-in count",68.7
1999/2000,Saskatchewan,"Incarceration rates per 10,000 young persons",36.3
1999/2000,Saskatchewan,Total community supervision count,1975.2
1999/2000,Saskatchewan,"Probation, community supervision",1975.2
1999/2000,Saskatchewan,"Community portion of custody sentence, community supervision",
