REF_DATE,GEO,Admissions and releases,Correctional services,VALUE
1997/1998,Prince Edward Island,Youth releases,Supervised probation,
1997/1998,Prince Edward Island,Youth releases,Other community sentences,
1997/1998,Nova Scotia,Youth admissions,Total correctional services,2528
1997/1998,Nova Scotia,Youth admissions,Pre-trial detention,324
1997/1998,Nova Scotia,Youth admissions,Provincial director remand,
1997/1998,Nova Scotia,Youth admissions,Secure custody,56
1997/1998,Nova Scotia,Youth admissions,Custody and supervision (secure),
1997/1998,Nova Scotia,Youth admissions,Young Offenders Act (YOA) (secure),
1997/1998,Nova Scotia,Youth admissions,Open custody,356
1997/1998,Nova Scotia,Youth admissions,Custody and supervision (open),
1997/1998,Nova Scotia,Youth admissions,Young Offenders Act (YOA) (open),
1997/1998,Nova Scotia,Youth admissions,Total community sentences,1792
1997/1998,Nova Scotia,Youth admissions,Community Portion of Custody Supervision,
1997/1998,Nova Scotia,Youth admissions,Intensive support and supervision,
1997/1998,Nova Scotia,Youth admissions,Deferred custody and supervision,
1997/1998,Nova Scotia,Youth admissions,Supervised probation,1792
1997/1998,Nova Scotia,Youth admissions,Other community sentences,
1997/1998,Nova Scotia,Youth releases,Total correctional services,601
1997/1998,Nova Scotia,Youth releases,Pre-trial detention,313
1997/1998,Nova Scotia,Youth releases,Provincial director remand,
1997/1998,Nova Scotia,Youth releases,Secure custody,27
1997/1998,Nova Scotia,Youth releases,Custody and supervision (secure),
1997/1998,Nova Scotia,Youth releases,Young Offenders Act (YOA) (secure),
1997/1998,Nova Scotia,Youth releases,Open custody,261
1997/1998,Nova Scotia,Youth releases,Custody and supervision (open),
1997/1998,Nova Scotia,Youth releases,Young Offenders Act (YOA) (open),
1997/1998,Nova Scotia,Youth releases,Total community sentences,
1997/1998,Nova Scotia,Youth releases,Community Portion of Custody Supervision,
1997/1998,Nova Scotia,Youth releases,Intensive support and supervision,
1997/1998,Nova Scotia,Youth releases,Deferred custody and supervision,
1997/1998,Nova Scotia,Youth releases,Supervised probation,
1997/1998,Nova Scotia,Youth releases,Other community sentences,
1997/1998,New Brunswick,Youth admissions,Total correctional services,1922
1997/1998,New Brunswick,Youth admissions,Pre-trial detention,381
1997/1998,New Brunswick,Youth admissions,Provincial director remand,
1997/1998,New Brunswick,Youth admissions,Secure custody,318
1997/1998,New Brunswick,Youth admissions,Custody and supervision (secure),
1997/1998,New Brunswick,Youth admissions,Young Offenders Act (YOA) (secure),
1997/1998,New Brunswick,Youth admissions,Open custody,204
1997/1998,New Brunswick,Youth admissions,Custody and supervision (open),
1997/1998,New Brunswick,Youth admissions,Young Offenders Act (YOA) (open),
1997/1998,New Brunswick,Youth admissions,Total community sentences,1019
1997/1998,New Brunswick,Youth admissions,Community Portion of Custody Supervision,
1997/1998,New Brunswick,Youth admissions,Intensive support and supervision,
1997/1998,New Brunswick,Youth admissions,Deferred custody and supervision,
1997/1998,New Brunswick,Youth admissions,Supervised probation,1019
1997/1998,New Brunswick,Youth admissions,Other community sentences,
1997/1998,New Brunswick,Youth releases,Total correctional services,926
1997/1998,New Brunswick,Youth releases,Pre-trial detention,389
1997/1998,New Brunswick,Youth releases,Provincial director remand,
1997/1998,New Brunswick,Youth releases,Secure custody,320
1997/1998,New Brunswick,Youth releases,Custody and supervision (secure),
1997/1998,New Brunswick,Youth releases,Young Offenders Act (YOA) (secure),
1997/1998,New Brunswick,Youth releases,Open custody,217
1997/1998,New Brunswick,Youth releases,Custody and supervision (open),
1997/1998,New Brunswick,Youth releases,Young Offenders Act (YOA) (open),
1997/1998,New Brunswick,Youth releases,Total community sentences,
1997/1998,New Brunswick,Youth releases,Community Portion of Custody Supervision,
1997/1998,New Brunswick,Youth releases,Intensive support and supervision,
1997/1998,New Brunswick,Youth releases,Deferred custody and supervision,
1997/1998,New Brunswick,Youth releases,Supervised probation,
1997/1998,New Brunswick,Youth releases,Other community sentences,
1997/1998,Quebec,Youth admissions,Total correctional services,12712
1997/1998,Quebec,Youth admissions,Pre-trial detention,2148
1997/1998,Quebec,Youth admissions,Provincial director remand,
1997/1998,Quebec,Youth admissions,Secure custody,1317
1997/1998,Quebec,Youth admissions,Custody and supervision (secure),
1997/1998,Quebec,Youth admissions,Young Offenders Act (YOA) (secure),
1997/1998,Quebec,Youth admissions,Open custody,1289
1997/1998,Quebec,Youth admissions,Custody and supervision (open),
1997/1998,Quebec,Youth admissions,Young Offenders Act (YOA) (open),
1997/1998,Quebec,Youth admissions,Total community sentences,7958
1997/1998,Quebec,Youth admissions,Community Portion of Custody Supervision,
1997/1998,Quebec,Youth admissions,Intensive support and supervision,
1997/1998,Quebec,Youth admissions,Deferred custody and supervision,
1997/1998,Quebec,Youth admissions,Supervised probation,7958
1997/1998,Quebec,Youth admissions,Other community sentences,
1997/1998,Quebec,Youth releases,Total correctional services,
1997/1998,Quebec,Youth releases,Pre-trial detention,
1997/1998,Quebec,Youth releases,Provincial director remand,
1997/1998,Quebec,Youth releases,Secure custody,
1997/1998,Quebec,Youth releases,Custody and supervision (secure),
1997/1998,Quebec,Youth releases,Young Offenders Act (YOA) (secure),
1997/1998,Quebec,Youth releases,Open custody,
1997/1998,Quebec,Youth releases,Custody and supervision (open),
1997/1998,Quebec,Youth releases,Young Offenders Act (YOA) (open),
1997/1998,Quebec,Youth releases,Total community sentences,
1997/1998,Quebec,Youth releases,Community Portion of Custody Supervision,
1997/1998,Quebec,Youth releases,Intensive support and supervision,
1997/1998,Quebec,Youth releases,Deferred custody and supervision,
1997/1998,Quebec,Youth releases,Supervised probation,
1997/1998,Quebec,Youth releases,Other community sentences,
1997/1998,Ontario,Youth admissions,Total correctional services,30622
1997/1998,Ontario,Youth admissions,Pre-trial detention,4966
1997/1998,Ontario,Youth admissions,Provincial director remand,
1997/1998,Ontario,Youth admissions,Secure custody,3738
1997/1998,Ontario,Youth admissions,Custody and supervision (secure),
1997/1998,Ontario,Youth admissions,Young Offenders Act (YOA) (secure),
1997/1998,Ontario,Youth admissions,Open custody,4219
1997/1998,Ontario,Youth admissions,Custody and supervision (open),
1997/1998,Ontario,Youth admissions,Young Offenders Act (YOA) (open),
1997/1998,Ontario,Youth admissions,Total community sentences,17699
1997/1998,Ontario,Youth admissions,Community Portion of Custody Supervision,
1997/1998,Ontario,Youth admissions,Intensive support and supervision,
1997/1998,Ontario,Youth admissions,Deferred custody and supervision,
1997/1998,Ontario,Youth admissions,Supervised probation,17699
1997/1998,Ontario,Youth admissions,Other community sentences,
1997/1998,Ontario,Youth releases,Total correctional services,12882
1997/1998,Ontario,Youth releases,Pre-trial detention,4934
1997/1998,Ontario,Youth releases,Provincial director remand,
1997/1998,Ontario,Youth releases,Secure custody,3690
1997/1998,Ontario,Youth releases,Custody and supervision (secure),
1997/1998,Ontario,Youth releases,Young Offenders Act (YOA) (secure),
1997/1998,Ontario,Youth releases,Open custody,4258
1997/1998,Ontario,Youth releases,Custody and supervision (open),
1997/1998,Ontario,Youth releases,Young Offenders Act (YOA) (open),
1997/1998,Ontario,Youth releases,Total community sentences,
1997/1998,Ontario,Youth releases,Community Portion of Custody Supervision,
1997/1998,Ontario,Youth releases,Intensive support and supervision,
1997/1998,Ontario,Youth releases,Deferred custody and supervision,
1997/1998,Ontario,Youth releases,Supervised probation,
1997/1998,Ontario,Youth releases,Other community sentences,
1997/1998,"Ontario, Ministry of Children and Youth Services (MCYS)",Youth admissions,Total correctional services,15804
1997/1998,"Ontario, Ministry of Children and Youth Services (MCYS)",Youth admissions,Pre-trial detention,
1997/1998,"Ontario, Ministry of Children and Youth Services (MCYS)",Youth admissions,Provincial director remand,
1997/1998,"Ontario, Ministry of Children and Youth Services (MCYS)",Youth admissions,Secure custody,2041
1997/1998,"Ontario, Ministry of Children and Youth Services (MCYS)",Youth admissions,Custody and supervision (secure),
1997/1998,"Ontario, Ministry of Children and Youth Services (MCYS)",Youth admissions,Young Offenders Act (YOA) (secure),
1997/1998,"Ontario, Ministry of Children and Youth Services (MCYS)",Youth admissions,Open custody,3036
1997/1998,"Ontario, Ministry of Children and Youth Services (MCYS)",Youth admissions,Custody and supervision (open),
1997/1998,"Ontario, Ministry of Children and Youth Services (MCYS)",Youth admissions,Young Offenders Act (YOA) (open),
1997/1998,"Ontario, Ministry of Children and Youth Services (MCYS)",Youth admissions,Total community sentences,10727
1997/1998,"Ontario, Ministry of Children and Youth Services (MCYS)",Youth admissions,Community Portion of Custody Supervision,
1997/1998,"Ontario, Ministry of Children and Youth Services (MCYS)",Youth admissions,Intensive support and supervision,
1997/1998,"Ontario, Ministry of Children and Youth Services (MCYS)",Youth admissions,Deferred custody and supervision,
1997/1998,"Ontario, Ministry of Children and Youth Services (MCYS)",Youth admissions,Supervised probation,10727
1997/1998,"Ontario, Ministry of Children and Youth Services (MCYS)",Youth admissions,Other community sentences,
1997/1998,"Ontario, Ministry of Children and Youth Services (MCYS)",Youth releases,Total correctional services,5039
1997/1998,"Ontario, Ministry of Children and Youth Services (MCYS)",Youth releases,Pre-trial detention,
1997/1998,"Ontario, Ministry of Children and Youth Services (MCYS)",Youth releases,Provincial director remand,
1997/1998,"Ontario, Ministry of Children and Youth Services (MCYS)",Youth releases,Secure custody,1992
1997/1998,"Ontario, Ministry of Children and Youth Services (MCYS)",Youth releases,Custody and supervision (secure),
1997/1998,"Ontario, Ministry of Children and Youth Services (MCYS)",Youth releases,Young Offenders Act (YOA) (secure),
1997/1998,"Ontario, Ministry of Children and Youth Services (MCYS)",Youth releases,Open custody,3047
1997/1998,"Ontario, Ministry of Children and Youth Services (MCYS)",Youth releases,Custody and supervision (open),
1997/1998,"Ontario, Ministry of Children and Youth Services (MCYS)",Youth releases,Young Offenders Act (YOA) (open),
1997/1998,"Ontario, Ministry of Children and Youth Services (MCYS)",Youth releases,Total community sentences,
1997/1998,"Ontario, Ministry of Children and Youth Services (MCYS)",Youth releases,Community Portion of Custody Supervision,
1997/1998,"Ontario, Ministry of Children and Youth Services (MCYS)",Youth releases,Intensive support and supervision,
1997/1998,"Ontario, Ministry of Children and Youth Services (MCYS)",Youth releases,Deferred custody and supervision,
1997/1998,"Ontario, Ministry of Children and Youth Services (MCYS)",Youth releases,Supervised probation,
1997/1998,"Ontario, Ministry of Children and Youth Services (MCYS)",Youth releases,Other community sentences,
1997/1998,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Youth admissions,Total correctional services,14818
1997/1998,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Youth admissions,Pre-trial detention,4966
1997/1998,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Youth admissions,Provincial director remand,
1997/1998,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Youth admissions,Secure custody,1697
1997/1998,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Youth admissions,Custody and supervision (secure),
1997/1998,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Youth admissions,Young Offenders Act (YOA) (secure),
1997/1998,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Youth admissions,Open custody,1183
1997/1998,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Youth admissions,Custody and supervision (open),
1997/1998,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Youth admissions,Young Offenders Act (YOA) (open),
1997/1998,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Youth admissions,Total community sentences,6972
1997/1998,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Youth admissions,Community Portion of Custody Supervision,
1997/1998,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Youth admissions,Intensive support and supervision,
1997/1998,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Youth admissions,Deferred custody and supervision,
1997/1998,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Youth admissions,Supervised probation,6972
1997/1998,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Youth admissions,Other community sentences,
1997/1998,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Youth releases,Total correctional services,7843
1997/1998,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Youth releases,Pre-trial detention,4934
1997/1998,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Youth releases,Provincial director remand,
1997/1998,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Youth releases,Secure custody,1698
1997/1998,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Youth releases,Custody and supervision (secure),
1997/1998,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Youth releases,Young Offenders Act (YOA) (secure),
1997/1998,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Youth releases,Open custody,1211
1997/1998,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Youth releases,Custody and supervision (open),
1997/1998,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Youth releases,Young Offenders Act (YOA) (open),
1997/1998,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Youth releases,Total community sentences,
1997/1998,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Youth releases,Community Portion of Custody Supervision,
1997/1998,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Youth releases,Intensive support and supervision,
1997/1998,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Youth releases,Deferred custody and supervision,
1997/1998,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Youth releases,Supervised probation,
1997/1998,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",Youth releases,Other community sentences,
1997/1998,Manitoba,Youth admissions,Total correctional services,2506
1997/1998,Manitoba,Youth admissions,Pre-trial detention,1789
1997/1998,Manitoba,Youth admissions,Provincial director remand,
1997/1998,Manitoba,Youth admissions,Secure custody,276
1997/1998,Manitoba,Youth admissions,Custody and supervision (secure),
1997/1998,Manitoba,Youth admissions,Young Offenders Act (YOA) (secure),
1997/1998,Manitoba,Youth admissions,Open custody,441
1997/1998,Manitoba,Youth admissions,Custody and supervision (open),
1997/1998,Manitoba,Youth admissions,Young Offenders Act (YOA) (open),
1997/1998,Manitoba,Youth admissions,Total community sentences,
1997/1998,Manitoba,Youth admissions,Community Portion of Custody Supervision,
1997/1998,Manitoba,Youth admissions,Intensive support and supervision,
1997/1998,Manitoba,Youth admissions,Deferred custody and supervision,
1997/1998,Manitoba,Youth admissions,Supervised probation,
1997/1998,Manitoba,Youth admissions,Other community sentences,
1997/1998,Manitoba,Youth releases,Total correctional services,2535
1997/1998,Manitoba,Youth releases,Pre-trial detention,1812
1997/1998,Manitoba,Youth releases,Provincial director remand,
1997/1998,Manitoba,Youth releases,Secure custody,280
1997/1998,Manitoba,Youth releases,Custody and supervision (secure),
1997/1998,Manitoba,Youth releases,Young Offenders Act (YOA) (secure),
1997/1998,Manitoba,Youth releases,Open custody,443
1997/1998,Manitoba,Youth releases,Custody and supervision (open),
1997/1998,Manitoba,Youth releases,Young Offenders Act (YOA) (open),
1997/1998,Manitoba,Youth releases,Total community sentences,
1997/1998,Manitoba,Youth releases,Community Portion of Custody Supervision,
1997/1998,Manitoba,Youth releases,Intensive support and supervision,
1997/1998,Manitoba,Youth releases,Deferred custody and supervision,
1997/1998,Manitoba,Youth releases,Supervised probation,
1997/1998,Manitoba,Youth releases,Other community sentences,
1997/1998,Saskatchewan,Youth admissions,Total correctional services,
1997/1998,Saskatchewan,Youth admissions,Pre-trial detention,
1997/1998,Saskatchewan,Youth admissions,Provincial director remand,
1997/1998,Saskatchewan,Youth admissions,Secure custody,
1997/1998,Saskatchewan,Youth admissions,Custody and supervision (secure),
1997/1998,Saskatchewan,Youth admissions,Young Offenders Act (YOA) (secure),
1997/1998,Saskatchewan,Youth admissions,Open custody,
1997/1998,Saskatchewan,Youth admissions,Custody and supervision (open),
1997/1998,Saskatchewan,Youth admissions,Young Offenders Act (YOA) (open),
1997/1998,Saskatchewan,Youth admissions,Total community sentences,
1997/1998,Saskatchewan,Youth admissions,Community Portion of Custody Supervision,
1997/1998,Saskatchewan,Youth admissions,Intensive support and supervision,
1997/1998,Saskatchewan,Youth admissions,Deferred custody and supervision,
1997/1998,Saskatchewan,Youth admissions,Supervised probation,
1997/1998,Saskatchewan,Youth admissions,Other community sentences,
1997/1998,Saskatchewan,Youth releases,Total correctional services,
1997/1998,Saskatchewan,Youth releases,Pre-trial detention,
1997/1998,Saskatchewan,Youth releases,Provincial director remand,
1997/1998,Saskatchewan,Youth releases,Secure custody,
1997/1998,Saskatchewan,Youth releases,Custody and supervision (secure),
1997/1998,Saskatchewan,Youth releases,Young Offenders Act (YOA) (secure),
1997/1998,Saskatchewan,Youth releases,Open custody,
1997/1998,Saskatchewan,Youth releases,Custody and supervision (open),
1997/1998,Saskatchewan,Youth releases,Young Offenders Act (YOA) (open),
1997/1998,Saskatchewan,Youth releases,Total community sentences,
1997/1998,Saskatchewan,Youth releases,Community Portion of Custody Supervision,
1997/1998,Saskatchewan,Youth releases,Intensive support and supervision,
1997/1998,Saskatchewan,Youth releases,Deferred custody and supervision,
1997/1998,Saskatchewan,Youth releases,Supervised probation,
1997/1998,Saskatchewan,Youth releases,Other community sentences,
1997/1998,Alberta,Youth admissions,Total correctional services,8650
1997/1998,Alberta,Youth admissions,Pre-trial detention,3307
1997/1998,Alberta,Youth admissions,Provincial director remand,
1997/1998,Alberta,Youth admissions,Secure custody,1053
1997/1998,Alberta,Youth admissions,Custody and supervision (secure),
1997/1998,Alberta,Youth admissions,Young Offenders Act (YOA) (secure),
1997/1998,Alberta,Youth admissions,Open custody,783
1997/1998,Alberta,Youth admissions,Custody and supervision (open),
1997/1998,Alberta,Youth admissions,Young Offenders Act (YOA) (open),
1997/1998,Alberta,Youth admissions,Total community sentences,3507
1997/1998,Alberta,Youth admissions,Community Portion of Custody Supervision,
1997/1998,Alberta,Youth admissions,Intensive support and supervision,
1997/1998,Alberta,Youth admissions,Deferred custody and supervision,
1997/1998,Alberta,Youth admissions,Supervised probation,3507
1997/1998,Alberta,Youth admissions,Other community sentences,
1997/1998,Alberta,Youth releases,Total correctional services,5176
1997/1998,Alberta,Youth releases,Pre-trial detention,3318
1997/1998,Alberta,Youth releases,Provincial director remand,
1997/1998,Alberta,Youth releases,Secure custody,1057
1997/1998,Alberta,Youth releases,Custody and supervision (secure),
1997/1998,Alberta,Youth releases,Young Offenders Act (YOA) (secure),
1997/1998,Alberta,Youth releases,Open custody,801
1997/1998,Alberta,Youth releases,Custody and supervision (open),
1997/1998,Alberta,Youth releases,Young Offenders Act (YOA) (open),
1997/1998,Alberta,Youth releases,Total community sentences,
1997/1998,Alberta,Youth releases,Community Portion of Custody Supervision,
1997/1998,Alberta,Youth releases,Intensive support and supervision,
1997/1998,Alberta,Youth releases,Deferred custody and supervision,
1997/1998,Alberta,Youth releases,Supervised probation,
1997/1998,Alberta,Youth releases,Other community sentences,
1997/1998,British Columbia,Youth admissions,Total correctional services,8638
1997/1998,British Columbia,Youth admissions,Pre-trial detention,2653
1997/1998,British Columbia,Youth admissions,Provincial director remand,
1997/1998,British Columbia,Youth admissions,Secure custody,821
1997/1998,British Columbia,Youth admissions,Custody and supervision (secure),
1997/1998,British Columbia,Youth admissions,Young Offenders Act (YOA) (secure),
1997/1998,British Columbia,Youth admissions,Open custody,740
1997/1998,British Columbia,Youth admissions,Custody and supervision (open),
1997/1998,British Columbia,Youth admissions,Young Offenders Act (YOA) (open),
1997/1998,British Columbia,Youth admissions,Total community sentences,4424
1997/1998,British Columbia,Youth admissions,Community Portion of Custody Supervision,
1997/1998,British Columbia,Youth admissions,Intensive support and supervision,
1997/1998,British Columbia,Youth admissions,Deferred custody and supervision,
1997/1998,British Columbia,Youth admissions,Supervised probation,4424
1997/1998,British Columbia,Youth admissions,Other community sentences,
1997/1998,British Columbia,Youth releases,Total correctional services,3928
1997/1998,British Columbia,Youth releases,Pre-trial detention,2603
1997/1998,British Columbia,Youth releases,Provincial director remand,
1997/1998,British Columbia,Youth releases,Secure custody,513
1997/1998,British Columbia,Youth releases,Custody and supervision (secure),
1997/1998,British Columbia,Youth releases,Young Offenders Act (YOA) (secure),
1997/1998,British Columbia,Youth releases,Open custody,812
1997/1998,British Columbia,Youth releases,Custody and supervision (open),
1997/1998,British Columbia,Youth releases,Young Offenders Act (YOA) (open),
1997/1998,British Columbia,Youth releases,Total community sentences,
1997/1998,British Columbia,Youth releases,Community Portion of Custody Supervision,
1997/1998,British Columbia,Youth releases,Intensive support and supervision,
1997/1998,British Columbia,Youth releases,Deferred custody and supervision,
1997/1998,British Columbia,Youth releases,Supervised probation,
1997/1998,British Columbia,Youth releases,Other community sentences,
1997/1998,Yukon,Youth admissions,Total correctional services,330
1997/1998,Yukon,Youth admissions,Pre-trial detention,130
1997/1998,Yukon,Youth admissions,Provincial director remand,
1997/1998,Yukon,Youth admissions,Secure custody,70
1997/1998,Yukon,Youth admissions,Custody and supervision (secure),
1997/1998,Yukon,Youth admissions,Young Offenders Act (YOA) (secure),
1997/1998,Yukon,Youth admissions,Open custody,39
1997/1998,Yukon,Youth admissions,Custody and supervision (open),
1997/1998,Yukon,Youth admissions,Young Offenders Act (YOA) (open),
1997/1998,Yukon,Youth admissions,Total community sentences,91
1997/1998,Yukon,Youth admissions,Community Portion of Custody Supervision,
1997/1998,Yukon,Youth admissions,Intensive support and supervision,
1997/1998,Yukon,Youth admissions,Deferred custody and supervision,
1997/1998,Yukon,Youth admissions,Supervised probation,91
1997/1998,Yukon,Youth admissions,Other community sentences,
1997/1998,Yukon,Youth releases,Total correctional services,250
1997/1998,Yukon,Youth releases,Pre-trial detention,140
1997/1998,Yukon,Youth releases,Provincial director remand,
1997/1998,Yukon,Youth releases,Secure custody,66
1997/1998,Yukon,Youth releases,Custody and supervision (secure),
1997/1998,Yukon,Youth releases,Young Offenders Act (YOA) (secure),
1997/1998,Yukon,Youth releases,Open custody,44
